OrphaCode,DiseaseName,AgeOfOnset,TypeOfInheritance,urgency_tier,anomaly_score
700333,Hypotonia-speech impairment-severe cognitive delay syndrome due to UNC80 deficiency,Unknown,Autosomal recessive,3,-0.4185552666715839
700336,Hypotonia-speech impairment-severe cognitive delay syndrome due to NALCN deficiency,Unknown,Autosomal recessive,3,-0.4185552666715839
99854,Cree leukoencephalopathy,Unknown,Autosomal recessive,3,-0.4185552666715839
708895,Tetrahydrobiopterin-unresponsive phenylketonuria,Unknown,Autosomal recessive,3,-0.4185552666715839
693647,Agammaglobulinemia-early-onset hypertrophic cardiomyopathy-neutropenia syndrome,Unknown,Autosomal recessive,3,-0.4185552666715839
693627,Agammaglobulinemia-skin involvement-failure to thrive syndrome,Unknown,Autosomal recessive,3,-0.4185552666715839
714484,AGR2-related infantile-onset inflammatory bowel disease,Unknown,Autosomal recessive,3,-0.4185552666715839
684247,Isolated growth hormone deficiency type IV,Unknown,Autosomal recessive,3,-0.4185552666715839
714487,Congenital diarrhea-chronic gastrointestinal inflammation-ocular dysgenesis syndrome,Unknown,Autosomal recessive,3,-0.4185552666715839
700467,Late infantile CLN6 disease,Unknown,Autosomal recessive,3,-0.4185552666715839
714496,Immunodeficiency-congenital thrombocytopenia-hypereosinophilia-colitis-vasculitis syndrome,Unknown,Autosomal recessive,3,-0.4185552666715839
714493,Congenital thrombocytopenia-recurrent infections syndrome due to WIP deficiency,Unknown,Autosomal recessive,3,-0.4185552666715839
685067,Hypodontia-scalp hypotrichosis-facial dysmorphism syndrome,Unknown,Autosomal recessive,3,-0.4185552666715839
664711,EBV-induced lymphoproliferative disease due to PRKCD deficiency,Unknown,Autosomal recessive,3,-0.4185552666715839
707937,Distal arthrogryposis-progressive scoliosis-thumb deformity-impaired proprioception syndrome,Unknown,Autosomal recessive,3,-0.4185552666715839
708171,Facial dysmorphism-corpus callosum hypoplasia-infantile epileptic encephalopathy,Unknown,Autosomal recessive,3,-0.4185552666715839
708036,Ectodermal dysplasia with agenesis of maxillary lateral incisors and mandibular anterior teeth,Unknown,Autosomal recessive,3,-0.4185552666715839
228429,Congenital generalized  lipodystrophy type 4,Unknown,Autosomal recessive,3,-0.4185552666715839
714490,PERCC1-related congenital intractable malabsorptive diarrhea,Unknown,Autosomal recessive,3,-0.4185552666715839
700124,Autosomal recessive hereditary chronic pancreatitis,Unknown,Autosomal recessive,3,-0.4185552666715839
699615,Severe mendelian susceptibility to mycobacterial diseases due to complete IRF1 deficiency,Unknown,Autosomal recessive,3,-0.4185552666715839
715623,Motor incoordination-myopathy-respiratory insufficiency-progressive cerebellar atrophy syndrome,Unknown,Autosomal recessive,3,-0.4185552666715839
696894,Common variable immunodeficiency phenotype due to CD21 deficiency,Unknown,Autosomal recessive,3,-0.4185552666715839
696907,Common variable immunodeficiency phenotype due to homozygous TACI deficiency,Unknown,Autosomal recessive,3,-0.4185552666715839
696925,Adult-onset common variable immunodeficiency due to BAFF-receptor deficiency,Unknown,Autosomal recessive,3,-0.4185552666715839
696206,Congenital generalized lipodystrophy type 3,Unknown,Autosomal recessive,3,-0.4185552666715839
696942,Childhood-onset common variable immunodeficiency due to ARHGEF1 deficiency,Unknown,Autosomal recessive,3,-0.4185552666715839
697067,Global developmental delay-intellectual disability-microcephaly-short stature-brain iron accumulation syndrome,Unknown,Autosomal recessive,3,-0.4185552666715839
697734,ST3GAL3-CDG,Unknown,Autosomal recessive,3,-0.4185552666715839
697394,Combined immunodeficiency due to c-REL deficiency,Unknown,Autosomal recessive,3,-0.4185552666715839
694946,Alazami-Yuan syndrome,Unknown,Autosomal recessive,3,-0.4185552666715839
696289,Congenital generalized lipodystrophy type 2,Unknown,Autosomal recessive,3,-0.4185552666715839
718017,Combined immunodeficiency due to COPG1 deficiency,Unknown,Autosomal recessive,3,-0.4185552666715839
696881,Common variable immunodeficiency phenotype due to CD19/CD81 deficiency,Unknown,Autosomal recessive,3,-0.4185552666715839
715640,Rothmund-Thomson syndrome type 3,Unknown,Autosomal recessive,3,-0.4185552666715839
699618,Severe mendelian susceptibility to mycobacterial diseases due to complete IFNG deficiency,Unknown,Autosomal recessive,3,-0.4185552666715839
696189,Congenital generalized lipodystrophy type 1,Unknown,Autosomal recessive,3,-0.4185552666715839
695783,EDEM3-CDG,Unknown,Autosomal recessive,3,-0.4185552666715839
698085,Global developmental delay-intellectual disability-facial dysmorphism-pseudo-Pelger-Huët anomaly syndrome,Unknown,Autosomal recessive,3,-0.4185552666715839
695183,Late-onset combined immunodeficiency due to ICOS deficiency,Unknown,Autosomal recessive,3,-0.4185552666715839
694922,Childhood-onset stress-induced neurodegenerative ataxia-seizure syndrome,Unknown,Autosomal recessive,3,-0.4185552666715839
715635,Rothmund-Thomson syndrome type 4,Unknown,Autosomal recessive,3,-0.4185552666715839
293355,Methylmalonic acidemia without homocystinuria,All ages,"Autosomal dominant, Autosomal recessive, X-linked dominant",3,-0.41848425631876446
631,Non-acquired isolated growth hormone deficiency,Neonatal,"Autosomal dominant, Autosomal recessive, X-linked recessive",1,-0.41806414978048645
1646,Chromosome Y microdeletion syndrome,Adult,"Not applicable, Y-linked",3,-0.417944205933238
1037,Arthrogryposis multiplex congenita,Neonatal,"Autosomal dominant, Autosomal recessive, Not applicable, X-linked recessive",1,-0.4179387152703894
700188,Calf-predominant weakness-gastrocnemius medialis atrophy-distal myopathy,Unknown,Autosomal dominant,3,-0.41787657913543197
693863,Splenic arteriovenous malformation,Unknown,Not applicable,3,-0.4173897050910233
695131,Acinar cystic transformation of the pancreas,Unknown,Not applicable,3,-0.4173897050910233
686468,Post 5-alpha-reductase inhibitors treatment syndrome,Unknown,Not applicable,3,-0.4173897050910233
686475,Post-selective serotonin reuptake inhibitor sexual dysfunction,Unknown,Not applicable,3,-0.4173897050910233
686462,Non-fibrotic hypersensitivity pneumonitis,Unknown,Not applicable,3,-0.4173897050910233
686465,Fibrotic hypersensitivity pneumonitis,Unknown,Not applicable,3,-0.4173897050910233
695023,Pure squamous carcinoma of the urothelial tract,Unknown,Not applicable,3,-0.4173897050910233
688523,Splenic venous malformation,Unknown,Not applicable,3,-0.4173897050910233
687741,Multisystem Langerhans cell histiocytosis,Unknown,Not applicable,3,-0.4173897050910233
687738,Single-system multifocal Langerhans cell histiocytosis,Unknown,Not applicable,3,-0.4173897050910233
687733,Pulmonary Langerhans cell histiocytosis,Unknown,Not applicable,3,-0.4173897050910233
693826,Pancreatic arteriovenous malformation,Unknown,Not applicable,3,-0.4173897050910233
687730,Unifocal Langerhans cell histiocytosis,Unknown,Not applicable,3,-0.4173897050910233
696078,Central giant cell granuloma,Unknown,Not applicable,3,-0.4173897050910233
576235,Partial atrioventricular septal defect without ventricular hypoplasia,Unknown,Not applicable,3,-0.4173897050910233
689401,Acquired hypothalamic obesity,Unknown,Not applicable,3,-0.4173897050910233
714160,Presumed ocular histoplasmosis syndrome,Unknown,Not applicable,3,-0.4173897050910233
714046,Primary choroidal lymphoma,Unknown,Not applicable,3,-0.4173897050910233
688995,Scarlet fever,Unknown,Not applicable,3,-0.4173897050910233
714101,Acute idiopathic maculopathy,Unknown,Not applicable,3,-0.4173897050910233
693839,Renal arteriovenous malformation,Unknown,Not applicable,3,-0.4173897050910233
693846,Hepatic arteriovenous malformation,Unknown,Not applicable,3,-0.4173897050910233
693855,Visceral arteriovenous malformation,Unknown,Not applicable,3,-0.4173897050910233
694228,Congenital intrahepatic arterioportal fistula,Unknown,Not applicable,3,-0.4173897050910233
693832,Gastrointestinal tract arteriovenous malformation,Unknown,Not applicable,3,-0.4173897050910233
700139,Late-onset idiopathic chronic pancreatitis,Unknown,Not applicable,3,-0.4173897050910233
714806,Multifocal sporadic venous malformation,Unknown,Not applicable,3,-0.4173897050910233
700136,Early-onset idiopathic chronic pancreatitis,Unknown,Not applicable,3,-0.4173897050910233
699697,Necrotizing fasciitis,Unknown,Not applicable,3,-0.4173897050910233
