OrphaCode,DiseaseName,AgeOfOnset,TypeOfInheritance,urgency_tier,cluster
888,Van der Woude syndrome,"Antenatal, Neonatal","Autosomal dominant, Not applicable",3,8
871,Hereditary progressive cardiac conduction defect,Adult,Autosomal dominant,3,13
1597,Distal deletion 17q syndrome,"Antenatal, Neonatal","Not applicable, Unknown",3,8
1590,Distal deletion 13q syndrome,"Antenatal, Infancy, Neonatal",Unknown,2,8
1587,Monosomy 13q14 syndrome,"Infancy, Neonatal",Not applicable,2,8
1621,3q13 microdeletion syndrome,"Antenatal, Neonatal",Not applicable,3,1
1620,Distal deletion 3p syndrome,"Antenatal, Neonatal",Unknown,3,14
1643,Xp22.3 microdeletion syndrome,Neonatal,Not applicable,3,14
1627,Deletion 5q35 syndrome,"Antenatal, Neonatal","Not applicable, Unknown",3,14
1699,Trisomy 12p syndrome,Neonatal,"Not applicable, Unknown",3,14
1695,Non-distal duplication 10q syndrome,Neonatal,Unknown,3,8
500,Noonan syndrome with multiple lentigines,Neonatal,Autosomal dominant,3,1
507,Leishmaniasis,All ages,Not applicable,3,5
548,Leprosy,All ages,Multigenic/multifactorial,3,4
233,Duane retraction syndrome,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, Not applicable",1,12
657,Congenital isolated hyperinsulinism,"Childhood, Infancy, Neonatal","Autosomal dominant, Autosomal recessive",1,12
2495,Meningioma,All ages,Not applicable,3,10
569,Familial or sporadic hemiplegic migraine,Childhood,Autosomal dominant,2,8
2014,Cleft palate,"Antenatal, Neonatal","Multigenic/multifactorial, Not applicable",3,8
240,Léri-Weill dyschondrosteosis,"Adolescent, Antenatal, Childhood, Infancy, Neonatal",Autosomal dominant,2,8
2311,Autosomal recessive spondylocostal dysostosis,"Antenatal, Neonatal",Autosomal recessive,1,12
358,Gitelman syndrome,Childhood,Autosomal recessive,2,12
242,"46,XY complete gonadal dysgenesis","Adolescent, Adult","Autosomal dominant, Autosomal recessive, X-linked recessive, Y-linked",3,4
2052,Fraser syndrome,"Antenatal, Neonatal",Autosomal recessive,1,12
1354,Heart defects-limb shortening syndrome,Neonatal,Autosomal recessive,1,2
1358,Carey-Fineman-Ziter syndrome,Neonatal,Autosomal recessive,1,2
557,Non-syndromic anorectal malformation,"Antenatal, Neonatal",Unknown,3,8
111,Barth syndrome,Childhood,X-linked recessive,2,7
10,"48,XXYY syndrome","Adolescent, Childhood, Infancy, Neonatal","Not applicable, Unknown",2,8
1308,C syndrome,"Antenatal, Neonatal","Not applicable, Unknown",3,8
150,Nasopharyngeal carcinoma,All ages,"Multigenic/multifactorial, Not applicable",3,5
133,Chronic beryllium disease,Adult,Not applicable,3,5
1552,Currarino syndrome,All ages,"Autosomal dominant, Not applicable",3,10
1450,Ring chromosome 8 syndrome,"Antenatal, Neonatal",Unknown,3,14
1448,Ring chromosome 6 syndrome,"Antenatal, Infancy, Neonatal",Unknown,2,14
1581,Non-distal deletion 10q syndrome,"Antenatal, Neonatal",Unknown,3,8
1580,Distal deletion 10p syndrome,Childhood,"Not applicable, Unknown",2,14
1437,Ring chromosome 1 syndrome,Neonatal,Unknown,3,14
172,Progressive familial intrahepatic cholestasis,"Adolescent, Childhood, Infancy, Neonatal",Autosomal recessive,1,12
1447,Ring chromosome 4 syndrome,"Infancy, Neonatal",Unknown,2,14
1444,Ring chromosome 20 syndrome,"Adolescent, Adult, Childhood, Infancy",Unknown,2,14
1439,Ring chromosome 12 syndrome,"Infancy, Neonatal",Unknown,2,14
1438,Ring chromosome 10 syndrome,"Antenatal, Neonatal","Not applicable, Unknown",3,14
624,Familial multiple nevi flammei,Neonatal,Autosomal dominant,3,8
3306,Inverted duplicated chromosome 15 syndrome,Neonatal,"Not applicable, Unknown",3,8
3375,Trisomy X syndrome,"Childhood, Infancy",Not applicable,2,8
3310,Tetrasomy 9p syndrome,"Antenatal, Neonatal",Unknown,3,14
3000,Familial peripheral male-limited precocious puberty,Childhood,Autosomal dominant,2,7
3305,Tetraploidy syndrome,"Antenatal, Neonatal",Unknown,3,14
3176,Spina bifida-hypospadias syndrome,"Antenatal, Infancy, Neonatal",Unknown,2,8
1708,Mosaic trisomy 16 syndrome,"Antenatal, Neonatal",Unknown,3,14
1711,Mosaic trisomy 17 syndrome,"Antenatal, Neonatal",Unknown,3,14
3376,Triploidy syndrome,"Antenatal, Neonatal","Not applicable, Unknown",3,8
1692,Mosaic trisomy 1 syndrome,Neonatal,Unknown,3,14
1698,Mosaic trisomy 12 syndrome,"Antenatal, Neonatal",Unknown,3,14
1706,Mosaic trisomy 15 syndrome,"Antenatal, Neonatal",Unknown,3,14
916,Aase-Smith syndrome type 1,"Antenatal, Neonatal",Autosomal dominant,3,1
920,Ablepharon macrostomia syndrome,"Antenatal, Neonatal",Autosomal dominant,3,1
1445,Ring chromosome 21 syndrome,"Antenatal, Neonatal",Unknown,3,8
7,3C syndrome,"Antenatal, Infancy, Neonatal","Autosomal recessive, X-linked recessive",1,2
931,Isolated acheiropodia,"Antenatal, Neonatal",Autosomal recessive,1,2
929,Achalasia-microcephaly syndrome,Neonatal,Autosomal recessive,1,2
869,Triple A syndrome,All ages,Autosomal recessive,3,0
2297,Insulin-resistance syndrome type A,"Adolescent, Adult, Childhood","Autosomal dominant, Autosomal recessive",2,1
922,Familial nasal acilia,Neonatal,Unknown,3,14
921,Abruzzo-Erickson syndrome,Antenatal,X-linked recessive,3,1
27,Vitamin B12-unresponsive methylmalonic acidemia,"Childhood, Infancy, Neonatal",Autosomal recessive,1,12
939,3-hydroxyisobutyric aciduria,"Antenatal, Neonatal",Unknown,3,14
31,Oxoglutaric aciduria,Neonatal,Autosomal recessive,1,12
935,Short-limb skeletal dysplasia with severe combined immunodeficiency,"Infancy, Neonatal",Not applicable,2,1
932,Achondrogenesis,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive",1,12
37,Acrodermatitis enteropathica,"Infancy, Neonatal",Autosomal recessive,1,2
950,Acrodysostosis,"Antenatal, Neonatal",Autosomal dominant,3,8
949,Acrocraniofacial dysostosis,"Antenatal, Neonatal",Autosomal recessive,1,2
945,Acalvaria,"Antenatal, Neonatal",Not applicable,3,8
957,Acropectorovertebral dysplasia,"Antenatal, Neonatal",Autosomal dominant,3,1
958,Acro-renal-mandibular syndrome,"Antenatal, Neonatal",Autosomal recessive,1,2
955,Hajdu-Cheney syndrome,"Childhood, Infancy",Autosomal dominant,2,1
952,"Acrofacial dysostosis, Weyers type",Neonatal,Autosomal dominant,3,8
1702,Non-distal duplication 13q syndrome,"Antenatal, Neonatal",Unknown,3,14
1703,Mosaic trisomy 14 syndrome,"Antenatal, Neonatal",Unknown,3,14
1705,Distal duplication 14q syndrome,"Antenatal, Neonatal",Unknown,3,14
1713,17p11.2 microduplication syndrome,"Childhood, Infancy, Neonatal",Not applicable,2,8
1738,Trisomy 4p syndrome,"Antenatal, Infancy, Neonatal",Unknown,2,14
1742,Trisomy 5p syndrome,"Antenatal, Neonatal","Not applicable, Unknown",3,14
1745,Distal duplication 6p syndrome,"Antenatal, Neonatal",Unknown,3,14
1752,Trisomy 8q syndrome,Neonatal,Unknown,3,14
1762,Proximal Xq28 duplication syndrome,"Antenatal, Neonatal",Unknown,3,14
1878,TRIM32-related limb-girdle muscular dystrophy R8,"Adolescent, Adult, Childhood",Autosomal recessive,2,1
1876,Oculogastrointestinal muscular dystrophy,Childhood,Autosomal recessive,2,7
1948,Epilepsy-microcephaly-skeletal dysplasia syndrome,Neonatal,Autosomal recessive,1,2
1946,Amelocerebrohypohidrotic syndrome,"Childhood, Infancy, Neonatal",Autosomal recessive,1,2
1951,Epilepsy-telangiectasia syndrome,Childhood,Autosomal recessive,2,7
381,Griscelli syndrome,"Childhood, Infancy",Autosomal recessive,2,7
2604,Familial visceral myopathy,All ages,Autosomal dominant,3,4
156,Carnitine palmitoyl transferase 1A deficiency,"Infancy, Neonatal",Autosomal recessive,1,2
2597,Mitochondrial myopathy-lactic acidosis-deafness syndrome,Childhood,No data available,2,7
2598,Mitochondrial myopathy and sideroblastic anemia,"Adolescent, Childhood, Infancy",Autosomal recessive,2,7
1078,Thumb stiffness-brachydactyly-intellectual disability syndrome,"Infancy, Neonatal",Autosomal dominant,2,1
1077,Dental ankylosis,"Adolescent, Adult, Childhood, Elderly",Unknown,2,14
1074,Ankyloblepharon filiforme adnatum-imperforate anus syndrome,Neonatal,Unknown,3,14
1072,Ankyloblepharon filiforme adnatum-cleft palate syndrome,Neonatal,Autosomal dominant,3,8
1071,Ankyloblepharon-ectodermal defects-cleft lip/palate syndrome,Neonatal,Autosomal dominant,3,8
1069,Aniridia-absent patella syndrome,"Antenatal, Neonatal",Autosomal dominant,3,1
1068,Aniridia-intellectual disability syndrome,Childhood,Autosomal dominant,2,7
1067,Aniridia-ptosis-intellectual disability-familial obesity syndrome,Childhood,Autosomal dominant,2,7
1064,Aniridia-renal agenesis-psychomotor retardation syndrome,Neonatal,Autosomal recessive,1,2
1062,Hereditary neurocutaneous malformation,"Childhood, Infancy",Autosomal dominant,2,1
1053,Vein of Galen malformation,"Antenatal, Infancy, Neonatal",Not applicable,2,8
1055,Congenital left ventricular aneurysm,"Antenatal, Neonatal",Unknown,3,8
1052,Mosaic variegated aneuploidy syndrome,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive",1,2
1040,Metaphyseal anadysplasia,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive",1,2
1041,Hydrops fetalis,Antenatal,Not applicable,3,8
1037,Arthrogryposis multiplex congenita,Neonatal,"Autosomal dominant, Autosomal recessive, Not applicable, X-linked recessive",1,12
1126,Aprosencephaly cerebellar dysgenesis,Antenatal,Unknown,3,14
1125,"Ocular motor apraxia, Cogan type",Childhood,Autosomal recessive,2,7
1121,Radial deficiency-tibial hypoplasia syndrome,Antenatal,Unknown,3,14
1120,Lung agenesis-heart defect-thumb anomalies syndrome,Antenatal,Unknown,3,14
1122,Ulnar hypoplasia-split foot syndrome,Neonatal,Unknown,3,14
1116,Aplasia cutis congenita-intestinal lymphangiectasia syndrome,Neonatal,Autosomal recessive,1,2
1118,Fibular aplasia-ectrodactyly syndrome,Neonatal,Autosomal dominant,3,1
1117,Aplasia cutis-myopia syndrome,Neonatal,Autosomal recessive,1,2
1110,Aortic arch anomaly-facial dysmorphism-intellectual disability syndrome,"Infancy, Neonatal",Autosomal dominant,2,1
1113,Aphalangy-syndactyly-microcephaly syndrome,"Antenatal, Neonatal",Autosomal dominant,3,1
1112,Aphalangy-hemivertebrae-urogenital-intestinal dysgenesis syndrome,Neonatal,Autosomal recessive,1,2
1106,Microphthalmia with limb anomalies,"Antenatal, Neonatal",Autosomal recessive,1,2
83,Antley-Bixler syndrome,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive",1,12
1104,Anophthalmia plus syndrome,"Antenatal, Neonatal",Autosomal recessive,1,2
1094,Anonychia-microcephaly syndrome,Neonatal,Autosomal recessive,1,2
991,PAGOD syndrome,Neonatal,Not applicable,3,1
990,Agnathia-holoprosencephaly-situs inversus syndrome,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive, Not applicable",1,2
989,Hypoglossia-hypodactyly syndrome,"Antenatal, Neonatal",Unknown,3,14
994,Fetal akinesia deformation sequence,"Antenatal, Neonatal",Autosomal recessive,1,2
51,Aicardi-Goutières syndrome,"Antenatal, Infancy, Neonatal","Autosomal dominant, Autosomal recessive",1,12
981,Internal carotid absence,All ages,Not applicable,3,5
978,ADULT syndrome,"Antenatal, Neonatal",Autosomal dominant,3,1
977,Adrenomyodystrophy,"Infancy, Neonatal",Unknown,2,14
988,Tibial hemimelia-polysyndactyly-triphalangeal thumb syndrome,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive",1,2
983,Testicular regression syndrome,Neonatal,Autosomal recessive,1,12
970,Hereditary sensory and autonomic neuropathy type 2,"Infancy, Neonatal",Autosomal recessive,1,2
971,Acrorenal syndrome,Neonatal,Autosomal recessive,1,2
40,"Acromesomelic dysplasia, Maroteaux type","Infancy, Neonatal",Autosomal recessive,1,2
969,Acromicric dysplasia,Neonatal,Autosomal dominant,3,1
974,Adams-Oliver syndrome,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive",1,12
972,Hereditary continuous muscle fiber activity,"Childhood, Infancy",Autosomal dominant,2,1
973,"Isolated absence/hypoplasia of fingers excluding thumb, unilateral","Antenatal, Neonatal","Autosomal dominant, Not applicable",3,1
959,Acro-renal-ocular syndrome,"Antenatal, Neonatal",Autosomal dominant,3,1
968,"Acromesomelic dysplasia, Hunter-Thompson type","Antenatal, Neonatal",Autosomal recessive,1,2
139411,Carney triad,"Adolescent, Adult",Unknown,3,6
139414,Congenital panfollicular nevus,"Infancy, Neonatal",Unknown,2,14
1028,Amelo-onycho-hypohidrotic syndrome,No data available,Unknown,3,11
139417,Acute transverse myelitis,"Adolescent, Adult, Childhood, Elderly, Infancy",Unknown,2,8
1031,Enamel-renal syndrome,Childhood,Autosomal recessive,2,7
139423,Idiopathic acute transverse myelitis,All ages,Not applicable,3,5
139426,Perioral myoclonia with absences,Childhood,Unknown,2,14
139431,Epilepsy with eyelid myoclonia,Childhood,Unknown,2,14
1035,Beta-mercaptolactate cysteine disulfiduria,No data available,Unknown,3,11
139436,Multicentric reticulohistiocytosis,Adult,Not applicable,3,5
1021,Amaurosis-hypertrichosis syndrome,Neonatal,Autosomal recessive,1,2
64,Alström syndrome,"Adolescent, Adult, Childhood, Infancy, Neonatal",Autosomal recessive,1,2
1023,"Congenital generalized hypertrichosis, Ambras type",Neonatal,Unknown,3,14
139390,Non-syndromic craniosynostosis,"Infancy, Neonatal",Unknown,2,8
139396,X-linked cerebral adrenoleukodystrophy,All ages,X-linked recessive,3,4
139399,Adrenomyeloneuropathy,Adult,X-linked recessive,3,4
139402,Drug reaction with eosinophilia and systemic symptoms,All ages,Not applicable,3,10
139406,Encephalopathy due to prosaposin deficiency,"Infancy, Neonatal",Autosomal recessive,1,2
1008,Alopecia-epilepsy-pyorrhea-intellectual disability syndrome,Neonatal,Autosomal dominant,3,1
701,Alopecia universalis,All ages,"Autosomal recessive, Multigenic/multifactorial",3,4
1010,Autosomal dominant palmoplantar keratoderma and congenital alopecia,"Infancy, Neonatal",Autosomal dominant,2,1
1014,Alopecia-intellectual disability-hypergonadotropic hypogonadism syndrome,Neonatal,Unknown,3,14
1001,2q37 microdeletion syndrome,Neonatal,"Autosomal dominant, Not applicable",3,1
59,Allan-Herndon-Dudley syndrome,"Antenatal, Infancy, Neonatal",X-linked recessive,2,1
1003,Scalp defects-postaxial polydactyly syndrome,Neonatal,Autosomal dominant,3,1
1005,Alopecia-contractures-dwarfism-intellectual disability syndrome,"Antenatal, Neonatal",Autosomal recessive,1,2
1253,Ascher syndrome,Neonatal,Not applicable,3,1
1252,Blepharonasofacial malformation syndrome,Childhood,"Autosomal dominant, X-linked dominant",2,7
1248,Maxillonasal dysplasia,Neonatal,"Autosomal dominant, Autosomal recessive, Multigenic/multifactorial",1,12
127,Borjeson-Forssman-Lehmann syndrome,Neonatal,X-linked recessive,3,1
1264,Tricho-retino-dento-digital syndrome,Neonatal,Autosomal dominant,3,1
1262,Böök syndrome,Adult,Autosomal dominant,3,13
1263,Boomerang dysplasia,"Antenatal, Neonatal",Not applicable,3,1
1259,Blepharoptosis-myopia-ectopia lentis syndrome,Childhood,Autosomal dominant,2,7
1261,Bonnemann-Meinecke-Reich syndrome,"Infancy, Neonatal",Autosomal recessive,1,2
1234,Bartsocas-Papas syndrome,"Antenatal, Neonatal",Autosomal recessive,1,2
1231,Barber-Say syndrome,Neonatal,"Autosomal dominant, Autosomal recessive, Not applicable",1,2
1229,Pseudo-TORCH syndrome type 1,"Antenatal, Neonatal",Autosomal recessive,1,2
109,Bannayan-Riley-Ruvalcaba syndrome,"Infancy, Neonatal",Autosomal dominant,2,8
1228,Banki syndrome,Neonatal,Autosomal dominant,3,1
1241,Bencze syndrome,Childhood,Autosomal dominant,2,7
1239,Behr syndrome,Unknown,Autosomal recessive,3,3
1237,Beemer-Ertbruggen syndrome,Neonatal,Autosomal recessive,1,2
114,Auriculoosteodysplasia,Neonatal,Autosomal dominant,3,1
115,Congenital contractural arachnodactyly,Neonatal,Autosomal dominant,3,8
1236,Severe microbrachycephaly-intellectual disability-athetoid cerebral palsy syndrome,Neonatal,No data available,3,14
137622,Intractable diarrhea-choanal atresia-eye anomalies syndrome,"Infancy, Neonatal",Unknown,2,14
1292,Brachymorphism-onychodysplasia-dysphalangism syndrome,Neonatal,Autosomal dominant,3,1
137628,Cardiac anomalies-heterotaxy syndrome,"Antenatal, Infancy, Neonatal",Autosomal dominant,2,1
1293,Brachyolmia,Childhood,"Autosomal dominant, Autosomal recessive",2,1
137625,Glycogen storage disease due to muscle and heart glycogen synthase deficiency,Childhood,Autosomal recessive,2,7
137608,Segmental outgrowth-lipomatosis-arteriovenous malformation-epidermal nevus syndrome,Neonatal,Not applicable,3,8
1299,Branchioskeletogenital syndrome,Neonatal,"Autosomal recessive, X-linked dominant",1,2
1300,Autosomal dominant popliteal pterygium syndrome,"Antenatal, Neonatal",Autosomal dominant,3,8
137667,Capillary malformation-arteriovenous malformation,"Infancy, Neonatal","Autosomal dominant, Not applicable",2,8
137634,Overgrowth-macrocephaly-facial dysmorphism syndrome,"Antenatal, Infancy, Neonatal",Autosomal dominant,2,1
1295,Brachytelephalangy-dysmorphism-Kallmann syndrome,Neonatal,Autosomal dominant,3,1
137631,"Lung fibrosis-immunodeficiency-46,XX gonadal dysgenesis syndrome",Infancy,Unknown,2,14
1296,Lambert syndrome,Neonatal,Unknown,3,14
1297,Branchio-oculo-facial syndrome,"Antenatal, Neonatal",Autosomal dominant,3,1
137639,Hypomyelinating leukodystrophy-ataxia-hypodontia-hypomyelination syndrome,"Infancy, Neonatal",Autosomal recessive,1,2
137577,Neonatal hypoxic and ischemic brain injury,"Infancy, Neonatal",Not applicable,2,8
137583,Vulvar intraepithelial neoplasia,"Adult, Elderly",Not applicable,3,10
1276,Brachydactyly-arterial hypertension syndrome,Neonatal,Autosomal dominant,3,1
1275,Brachydactyly-elbow wrist dysplasia syndrome,"Antenatal, Infancy, Neonatal",Autosomal dominant,2,1
1270,Bowen-Conradi syndrome,"Antenatal, Neonatal",Autosomal recessive,1,2
137605,Legius syndrome,"Childhood, Infancy, Neonatal",Autosomal dominant,2,8
137596,Neurotrophic keratopathy,"Adult, Childhood",Not applicable,2,14
1278,Brachydactyly-preaxial hallux varus syndrome,Neonatal,Autosomal dominant,3,1
137599,Herpes simplex virus stromal keratitis,All ages,Not applicable,3,10
1166,Congenital unilateral hypoplasia of depressor anguli oris,Neonatal,Autosomal dominant,3,8
1168,Ataxia-oculomotor apraxia type 1,Childhood,Autosomal recessive,2,1
1160,Chylous ascites,All ages,Unknown,3,6
137817,Arachnoiditis,All ages,Not applicable,3,10
1174,Cerebellar ataxia-ectodermal dysplasia syndrome,Neonatal,Autosomal recessive,1,12
137839,Lemierre syndrome,Adolescent,Unknown,3,6
137834,Frank-Ter Haar syndrome,"Antenatal, Neonatal",Autosomal recessive,1,2
137831,X-linked intellectual disability-cerebellar hypoplasia syndrome,"Infancy, Neonatal",X-linked dominant,2,1
1170,Autosomal recessive cerebelloparenchymal disorder type 3,"Adolescent, Childhood, Infancy",Autosomal recessive,2,12
1178,Ataxia-tapetoretinal degeneration syndrome,"Adolescent, Childhood, Infancy",Unknown,2,14
1175,X-linked progressive cerebellar ataxia,Childhood,X-linked recessive,2,1
1180,Ataxia-hypogonadism-choroidal dystrophy syndrome,Childhood,Autosomal recessive,2,1
1179,Benign paroxysmal tonic upgaze of childhood with ataxia,"Infancy, Neonatal",Unknown,2,14
1173,Cerebellar ataxia-hypogonadism syndrome,"Adolescent, Adult, Childhood",Autosomal recessive,2,1
137867,Madras motor neuron disease,"Adolescent, Adult, Childhood","Not applicable, X-linked recessive",2,7
137681,Hepatoencephalopathy due to combined oxidative phosphorylation defect type 1,Neonatal,Autosomal recessive,1,2
1133,AREDYLD syndrome,Neonatal,Autosomal recessive,1,2
137675,Histiocytoid cardiomyopathy,"Infancy, Neonatal","Autosomal recessive, Unknown, X-linked dominant",1,2
1131,X-linked mandibulofacial dysostosis,Neonatal,X-linked recessive,3,1
137678,Spondyloepiphyseal dysplasia with metatarsal shortening,"Adolescent, Childhood",Autosomal dominant,2,7
137698,Cytomegalovirus disease in patients with impaired cell mediated immunity deemed at risk,All ages,Not applicable,3,10
137754,Aminoacylase 1 deficiency,Childhood,Autosomal recessive,2,7
1145,Infantile-onset X-linked spinal muscular atrophy,Neonatal,X-linked recessive,3,1
1144,Arthrogryposis-like hand anomaly-sensorineural deafness syndrome,Neonatal,Unknown,3,14
137686,Asherman syndrome,Adult,Not applicable,3,10
137776,Lethal congenital contracture syndrome type 2,"Antenatal, Neonatal",Autosomal recessive,1,2
1150,Arthrogryposis multiplex congenita-whistling face syndrome,"Antenatal, Neonatal",Autosomal recessive,1,2
1149,Kuskokwim syndrome,"Childhood, Neonatal",Autosomal recessive,1,2
137807,Primary cutaneous amyloidosis,All ages,"Autosomal dominant, Not applicable",3,10
1159,Progressive pseudorheumatoid dysplasia,Childhood,Autosomal recessive,2,7
137783,Lethal congenital contracture syndrome type 3,"Antenatal, Neonatal",Autosomal recessive,1,2
1214,Progressive hemifacial atrophy,"Adolescent, Adult, Childhood",Not applicable,2,7
1215,Autosomal dominant optic atrophy plus syndrome,"Adolescent, Adult, Childhood",Autosomal dominant,2,1
1216,Autosomal dominant congenital benign spinal muscular atrophy,"Antenatal, Neonatal",Autosomal dominant,3,8
1221,Cheilitis glandularis,"Adolescent, Adult, Childhood, Elderly",Not applicable,2,7
1225,Baller-Gerold syndrome,"Antenatal, Neonatal",Autosomal recessive,1,2
1226,Bamforth-Lazarus syndrome,"Antenatal, Neonatal",Autosomal recessive,1,2
1227,Bangstad syndrome,Neonatal,Autosomal recessive,1,2
1184,Ataxia-photosensitivity-short stature syndrome,"Childhood, Infancy",Unknown,2,14
1182,Spastic ataxia with congenital miosis,"Adolescent, Childhood, Infancy, Neonatal",Autosomal dominant,2,1
137888,Auriculocondylar syndrome,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive",1,2
137893,Male infertility due to large-headed multiflagellar polyploid spermatozoa,Unknown,Autosomal recessive,3,3
1186,Infantile-onset spinocerebellar ataxia,Infancy,Autosomal recessive,2,7
1185,Spinocerebellar ataxia-dysmorphism syndrome,Infancy,Autosomal recessive,2,7
137898,Leukoencephalopathy with brain stem and spinal cord involvement-high lactate syndrome,"Adolescent, Adult, Antenatal, Childhood, Infancy, Neonatal",Autosomal recessive,1,2
1188,Ataxia-deafness-intellectual disability syndrome,"Childhood, Infancy",Unknown,2,14
1187,Lethal ataxia with deafness and optic atrophy,"Infancy, Neonatal",X-linked recessive,2,1
1190,Atelosteogenesis type I,"Antenatal, Neonatal",Autosomal dominant,3,1
137908,Hypotonia with lactic acidemia and hyperammonemia,"Antenatal, Neonatal",Autosomal recessive,1,2
137914,Choanal atresia,"Childhood, Infancy, Neonatal",Not applicable,2,8
1193,Atkin-Flaitz syndrome,Neonatal,X-linked dominant,3,1
137917,"Choanal atresia, unilateral","Infancy, Neonatal",Not applicable,2,8
1200,Burn-McKeown syndrome,Neonatal,Autosomal recessive,1,2
137920,"Choanal atresia, bilateral","Infancy, Neonatal",Not applicable,2,8
1198,Colonic atresia,"Antenatal, Neonatal",Not applicable,3,8
137926,Primary laryngeal lymphangioma,"Infancy, Neonatal",Unknown,2,8
1203,Duodenal atresia,"Antenatal, Childhood, Infancy, Neonatal",Unknown,2,8
1208,Pulmonary atresia-intact ventricular septum syndrome,"Antenatal, Infancy, Neonatal",Unknown,2,8
137932,Congenital laryngeal palsy,Neonatal,Unknown,3,8
137935,Airway infantile hemangioma,Infancy,Not applicable,2,8
1449,Ring chromosome 7 syndrome,"Antenatal, Neonatal",Unknown,3,14
141242,Paramedian nasal cleft,"Antenatal, Neonatal",Unknown,3,8
1453,Cleidorhizomelic syndrome,Neonatal,Autosomal dominant,3,1
1440,Ring chromosome 14 syndrome,Childhood,"Not applicable, Unknown",2,7
141234,Median facial cleft,"Antenatal, Neonatal",Unknown,3,8
1443,Ring chromosome 19 syndrome,Antenatal,Unknown,3,14
141261,Tessier number 5 facial cleft,"Antenatal, Neonatal",Unknown,3,8
141258,Tessier number 4 facial cleft,"Antenatal, Neonatal",Unknown,3,14
1458,CODAS syndrome,"Infancy, Neonatal",Autosomal recessive,1,2
141253,Oblique facial cleft,"Infancy, Neonatal",Unknown,2,14
1454,Joubert syndrome with hepatic defect,Neonatal,Autosomal recessive,1,2
190,Coats disease,Childhood,Not applicable,2,7
1429,Benign hereditary chorea,"Childhood, Infancy",Autosomal dominant,2,1
1426,Greenberg dysplasia,"Antenatal, Neonatal",Autosomal recessive,1,2
141184,Rapidly involuting congenital hemangioma,Antenatal,Not applicable,3,8
1427,Autosomal recessive otospondylomegaepiphyseal dysplasia,"Antenatal, Neonatal",Autosomal recessive,1,2
1435,Xq21 microdeletion syndrome,"Infancy, Neonatal",X-linked recessive,2,1
1436,X-linked skeletal dysplasia-intellectual disability syndrome,Neonatal,X-linked recessive,3,1
141214,Isolated congenital syngnathia,Neonatal,Unknown,3,8
141209,Diffuse lymphatic malformation,"Infancy, Neonatal",Not applicable,2,8
1433,Choroidal atrophy-alopecia syndrome,Neonatal,Unknown,3,14
1484,Contractures-ectodermal dysplasia-cleft lip/palate syndrome,Neonatal,"Autosomal recessive, X-linked recessive",1,2
141333,Biemond syndrome type 2,"Antenatal, Neonatal",Unknown,3,14
1490,Corneal dystrophy-perceptive deafness syndrome,Neonatal,Autosomal recessive,1,2
1487,Cooks syndrome,Neonatal,Autosomal dominant,3,1
155867,Paramedian facial cleft,"Antenatal, Neonatal",Unknown,3,8
1486,Lethal congenital contracture syndrome type 1,"Antenatal, Neonatal",Autosomal recessive,1,2
141276,Tessier number 7 facial cleft,"Antenatal, Neonatal",Autosomal dominant,3,8
141265,Tessier number 6 facial cleft,"Antenatal, Neonatal",Unknown,3,8
1466,COFS syndrome,"Antenatal, Neonatal",Autosomal recessive,1,2
141269,Lateral facial cleft,"Antenatal, Neonatal",Unknown,3,8
1471,Coloboma of macula-brachydactyly type B syndrome,"Antenatal, Neonatal",Autosomal dominant,3,1
141288,Midline cervical cleft,Unknown,Not applicable,3,9
141291,Cleft lip and alveolus,"Infancy, Neonatal",Multigenic/multifactorial,2,8
141091,Polyrrhinia,"Antenatal, Neonatal",Not applicable,3,8
141083,Nasolacrimal duct cyst,"Adult, Infancy, Neonatal",Not applicable,2,8
1410,Uncombable hair syndrome,Childhood,Autosomal recessive,2,1
141099,Proboscis lateralis,"Antenatal, Infancy, Neonatal",Not applicable,2,8
141096,Supernumerary nostril,"Antenatal, Neonatal",Not applicable,3,14
1412,Tarsal-carpal coalition syndrome,Neonatal,Autosomal dominant,3,1
141115,Nasal ganglioglioma,"Antenatal, Neonatal",Unknown,3,14
1416,Familial calcium pyrophosphate deposition,Adult,"Autosomal dominant, Not applicable",3,13
141112,Nasal glial heterotopia,Unknown,Not applicable,3,9
1394,Cerebrofaciothoracic dysplasia,"Antenatal, Neonatal",Autosomal recessive,1,2
1397,Hydrocephaly-cerebellar agenesis syndrome,Neonatal,X-linked recessive,3,1
1398,Isolated cerebellar agenesis,Childhood,Unknown,2,14
1399,Richards-Rundle syndrome,Infancy,Autosomal recessive,2,12
141077,Epignathus,"Antenatal, Neonatal",Not applicable,3,14
1401,CHAND syndrome,Neonatal,Autosomal recessive,1,2
141074,External auditory canal aplasia/hypoplasia,Neonatal,Autosomal dominant,3,8
141152,Isolated congenital hypoglossia/aglossia,"Infancy, Neonatal",Unknown,2,8
