OrphaCode,DiseaseName,AgeOfOnset,TypeOfInheritance,urgency_tier,cluster
357332,Syndactyly-camptodactyly and clinodactyly of fifth fingers-bifid toes syndrome,"Infancy, Neonatal",Autosomal recessive,1,2
357220,Primary essential cutis verticis gyrata,"Adolescent, Adult",Unknown,3,6
357225,Primary non-essential cutis verticis gyrata,"Adolescent, Childhood, Infancy, Neonatal",Unknown,2,8
357237,Combined immunodeficiency due to CARD11 deficiency,"Infancy, Neonatal",Autosomal recessive,1,2
357502,Idiopathic nephrotic syndrome,All ages,Unknown,3,6
356978,"D,L-2-hydroxyglutaric aciduria","Infancy, Neonatal",Autosomal recessive,1,2
356961,SLC35A2-CDG,"Infancy, Neonatal",Unknown,2,14
357008,Hemolytic uremic syndrome with DGKE deficiency,Infancy,"Autosomal recessive, Not applicable",2,7
357001,19p13.13 microdeletion syndrome,"Infancy, Neonatal",Unknown,2,14
356996,ANK3-related intellectual disability-sleep disturbance syndrome,Childhood,Autosomal recessive,2,7
357043,Amyotrophic lateral sclerosis type 4,"Adolescent, Childhood",Autosomal dominant,2,7
357034,Non-hereditary retinoblastoma,"Infancy, Neonatal",Not applicable,2,1
357027,Hereditary retinoblastoma,"Infancy, Neonatal",Autosomal dominant,2,8
357074,"Autosomal recessive cutis laxa type 2, classic type","Infancy, Neonatal",Autosomal recessive,1,12
357064,Autosomal recessive cutis laxa type 2B,"Infancy, Neonatal",Autosomal recessive,1,2
357058,Autosomal recessive cutis laxa type 2A,Neonatal,Autosomal recessive,1,2
357158,Mandibulofacial dysostosis-macroblepharon-macrostomia syndrome,"Infancy, Neonatal",Unknown,2,14
357154,Oral submucous fibrosis,All ages,Unknown,3,6
352654,Early-onset progressive neurodegeneration-blindness-ataxia-spasticity syndrome,Childhood,Autosomal recessive,2,7
352662,Corneal intraepithelial dyskeratosis-palmoplantar hyperkeratosis-laryngeal dyskeratosis syndrome,All ages,Autosomal dominant,3,13
352657,Hereditary benign intraepithelial dyskeratosis,"Infancy, Neonatal",Autosomal dominant,2,1
352641,Autosomal recessive cerebellar ataxia with late-onset spasticity,"Adolescent, Childhood",Autosomal recessive,2,7
352636,Phalangeal microgeodic syndrome,Childhood,Not applicable,2,7
352649,Brain dopamine-serotonin vesicular transport disease,"Infancy, Neonatal",Autosomal recessive,1,2
352596,Progressive myoclonic epilepsy with dystonia,"Infancy, Neonatal",Autosomal recessive,1,2
352629,16q24.1 microdeletion syndrome,"Infancy, Neonatal","Not applicable, Unknown",2,14
352577,Bainbridge-Ropers syndrome,"Antenatal, Infancy, Neonatal","Autosomal dominant, Not applicable",2,1
352587,Focal epilepsy-intellectual disability-cerebro-cerebellar malformation,Infancy,Autosomal recessive,2,7
352582,Familial infantile myoclonic epilepsy,"Infancy, Neonatal",Autosomal recessive,1,2
352731,Oculocutaneous albinism type 1,"Infancy, Neonatal",Autosomal recessive,1,12
352734,Minimal pigment oculocutaneous albinism type 1,"Infancy, Neonatal",Autosomal recessive,1,2
352737,Temperature-sensitive oculocutaneous albinism type 1,"Infancy, Neonatal",Autosomal recessive,1,2
352709,CLN13 disease,"Adolescent, Adult, Childhood, Elderly",Unknown,2,7
352712,Facial dysmorphism-immunodeficiency-livedo-short stature syndrome,"Infancy, Neonatal",Autosomal recessive,1,2
352718,Progressive retinal dystrophy due to retinol transport defect,Childhood,Autosomal recessive,2,7
352723,Attenuated Chédiak-Higashi syndrome,Childhood,Autosomal recessive,2,7
352665,Neurodevelopmental disorder-craniofacial dysmorphism-cardiac defect-skeletal anomalies syndrome due to 9q21.3 microdeletion,"Infancy, Neonatal","Not applicable, Unknown",2,14
352670,Autosomal dominant intermediate Charcot-Marie-Tooth disease type F,All ages,Autosomal dominant,3,13
352675,X-linked Charcot-Marie-Tooth disease type 6,Childhood,X-linked dominant,2,7
352682,Cobblestone lissencephaly without muscular or ocular involvement,"Childhood, Infancy",Autosomal recessive,2,7
353277,Rubinstein-Taybi syndrome due to CREBBP mutations,"Antenatal, Neonatal",Autosomal dominant,3,8
353253,Burning mouth syndrome,Adult,Unknown,3,6
353220,Familial primary localized cutaneous amyloidosis,All ages,Autosomal dominant,3,4
353217,Epileptic encephalopathy with global cerebral demyelination,Neonatal,Autosomal recessive,1,2
352763,Scleredema,"Adolescent, Adult, Childhood, Infancy",Not applicable,2,8
352745,Oculocutaneous albinism type 7,Neonatal,Autosomal recessive,1,2
353344,Idiopathic macular telangiectasia type 1,Adult,Unknown,3,0
353351,Idiopathic macular telangiectasia type 3,Adult,Unknown,3,0
353334,Congenital retinal arteriovenous communication,"Infancy, Neonatal",Unknown,2,14
353320,"Pyruvate carboxylase deficiency, benign type",Infancy,Autosomal recessive,2,7
353327,Congenital myasthenic syndrome with glycosylation defect,"Infancy, Neonatal",Autosomal recessive,1,12
353308,"Pyruvate carboxylase deficiency, infantile type",Infancy,Autosomal recessive,2,12
353314,"Pyruvate carboxylase deficiency, severe neonatal type","Infancy, Neonatal",Autosomal recessive,1,12
353298,Roifman syndrome,"Antenatal, Neonatal",Autosomal recessive,1,2
353281,Rubinstein-Taybi syndrome due to 16p13.3 microdeletion,"Antenatal, Neonatal",Not applicable,3,8
353284,Rubinstein-Taybi syndrome due to EP300 haploinsufficiency,Neonatal,Autosomal dominant,3,1
352403,Spectrin-associated autosomal recessive cerebellar ataxia,Infancy,Autosomal recessive,2,7
352333,Congenital ichthyosis-intellectual disability-spastic quadriplegia syndrome,"Infancy, Neonatal",Autosomal recessive,1,2
352328,MEGDEL syndrome,"Infancy, Neonatal",Autosomal recessive,1,2
352447,Progressive external ophthalmoplegia-myopathy-emaciation syndrome,All ages,Autosomal recessive,3,0
352530,Intellectual disability-obesity-brain malformations-facial dysmorphism syndrome,"Infancy, Neonatal",Autosomal recessive,1,2
352563,Infantile hypertrophic cardiomyopathy due to MRPL44 deficiency,"Infancy, Neonatal",Autosomal recessive,1,2
352540,Oncogenic osteomalacia,All ages,Not applicable,3,5
352479,ISPD-related limb-girdle muscular dystrophy R20,"Childhood, Infancy",Autosomal recessive,2,7
352470,DNA2-related mitochondrial DNA deletion syndrome,All ages,Autosomal dominant,3,13
352490,Autism spectrum disorder due to AUTS2 deficiency,"Infancy, Neonatal",Autosomal dominant,2,1
294415,Renal-hepatic-pancreatic dysplasia,"Antenatal, Neonatal",Autosomal recessive,1,12
294422,Chronic intestinal failure,All ages,Not applicable,3,10
293987,Rapid-onset childhood obesity-hypothalamic dysfunction-hypoventilation-autonomic dysregulation syndrome,"Childhood, Infancy",Unknown,2,14
294016,Microcephaly-capillary malformation syndrome,"Infancy, Neonatal",Autosomal recessive,1,2
294023,Neonatal erythroderma-autoinflammation-inflammatory bowel disease syndrome,"Infancy, Neonatal",Autosomal recessive,1,2
294026,Syndactyly-nystagmus syndrome due to 2q31.1 microduplication,Neonatal,Unknown,3,14
293964,Hypoinsulinemic hypoglycemia and body hemihypertrophy,"Infancy, Neonatal",Autosomal dominant,2,1
293967,Hypogonadotropic hypogonadism-severe microcephaly-sensorineural hearing loss-dysmorphism syndrome,"Antenatal, Infancy, Neonatal",Autosomal recessive,1,2
293978,Deficiency in anterior pituitary function-variable immunodeficiency syndrome,Childhood,Autosomal dominant,2,7
293958,Hypertelorism-preauricular sinus-punctual pits-deafness syndrome,"Infancy, Neonatal",Autosomal dominant,2,1
293955,Childhood encephalopathy due to thiamine pyrophosphokinase deficiency,"Infancy, Neonatal",Autosomal recessive,1,2
293948,1p21.3 microdeletion syndrome,No data available,Unknown,3,11
293939,Distal Xq28 microduplication syndrome,"Infancy, Neonatal",X-linked recessive,2,1
293936,EDICT syndrome,"Childhood, Infancy, Neonatal",Autosomal dominant,2,1
293925,Lethal occipital encephalocele-skeletal dysplasia syndrome,"Infancy, Neonatal",Autosomal recessive,1,2
293910,"Inherited isolated arrhythmogenic cardiomyopathy, dominant-right variant",Unknown,Autosomal dominant,3,11
293899,"Inherited isolated arrhythmogenic ventricular dysplasia, biventricular variant",Unknown,Autosomal dominant,3,11
293888,"Inherited isolated arrhythmogenic cardiomyopathy, dominant-left variant",Unknown,Autosomal dominant,3,11
293864,Hypoplastic pancreas-intestinal atresia-hypoplastic gallbladder syndrome,"Infancy, Neonatal",Autosomal recessive,1,2
293843,3MC syndrome,"Antenatal, Neonatal",Autosomal recessive,1,2
293830,Constitutional dyserythropoietic anemia,"Infancy, Neonatal",Unknown,2,8
293822,MITF-related melanoma and renal cell carcinoma predisposition syndrome,"Adult, Elderly",Unknown,3,0
293825,Congenital dyserythropoietic anemia type IV,"Infancy, Neonatal",Autosomal dominant,2,1
293812,Fixed drug eruption,All ages,Not applicable,3,10
293815,Toxic dermatosis,All ages,Not applicable,3,10
293807,Ketamine-induced biliary dilatation,All ages,Not applicable,3,10
293725,"Blepharophimosis-intellectual disability syndrome, Verloes type","Antenatal, Infancy, Neonatal",Unknown,2,14
293642,Blepharophimosis-intellectual disability syndrome,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, Mitochondrial inheritance, X-linked recessive",1,2
293707,"Blepharophimosis-intellectual disability syndrome, MKB type","Infancy, Neonatal",X-linked recessive,2,1
293633,PYCR1-related De Barsy syndrome,Unknown,Autosomal recessive,3,3
