OrphaCode,DiseaseName,AgeOfOnset,TypeOfInheritance,urgency_tier
401911,AXIN2-related polyposis,Adult,Autosomal dominant,3
401901,Huntington disease-like syndrome due to C9ORF72 expansions,Adult,Autosomal dominant,3
401942,Familial median cleft of the upper and lower lips,Neonatal,Unknown,3
401935,14q24.1q24.3 microdeletion syndrome,Neonatal,Unknown,3
401923,9q31.1q31.3 microdeletion syndrome,Neonatal,Unknown,3
401959,Partial corpus callosum agenesis-cerebellar vermis hypoplasia with posterior fossa cysts syndrome,Neonatal,Autosomal recessive,1
401953,Episodic ataxia with slurred speech,Infancy,Autosomal dominant,2
401948,Hyperammonemic encephalopathy due to carbonic anhydrase VA deficiency,"Childhood, Infancy, Neonatal",Autosomal recessive,1
401945,Moyamoya disease with early-onset achalasia,"Infancy, Neonatal",Autosomal recessive,1
401986,1p31p32 microdeletion syndrome,Neonatal,Unknown,3
401979,"Autosomal recessive spondylometaphyseal dysplasia, Mégarbané type",Antenatal,Autosomal recessive,1
401973,MEND syndrome,"Infancy, Neonatal",X-linked recessive,2
401964,Autosomal dominant Charcot-Marie-Tooth disease type 2 with giant axons,"Childhood, Infancy",Autosomal dominant,2
402003,Autosomal dominant focal non-epidermolytic palmoplantar keratoderma with plantar blistering,Childhood,Autosomal dominant,2
402007,Lichen myxedematosus,"Adult, Infancy",,2
401993,Cold-induced sweating syndrome-hyperthermia spectrum,,Autosomal recessive,3
401996,Karyomegalic interstitial nephritis,Adult,Autosomal recessive,3
402035,Eosinophilic colitis,"Adult, Infancy",,2
402026,Acute myeloid leukemia with NPM1 somatic mutations,,Not applicable,3
402082,Progressive myoclonic epilepsy type 5,Adolescent,Autosomal dominant,3
402364,Infantile cerebral and cerebellar atrophy with postnatal progressive microcephaly,Infancy,Autosomal recessive,2
402041,Autosomal recessive distal renal tubular acidosis,"Childhood, Infancy",Autosomal recessive,2
402075,Familial bicuspid aortic valve,"Infancy, Neonatal",Autosomal dominant,2
806,Scott syndrome,All ages,Autosomal recessive,3
404473,Intellectual disability-eye abnormalities-microcephaly-peripheral spasticity syndrome,Infancy,Unknown,2
404463,Multisystemic smooth muscle dysfunction syndrome,Infancy,Unknown,2
404466,Female infertility due to zona pellucida defect,Adult,"Autosomal dominant, Autosomal recessive",3
404451,FBLN1-related developmental delay-central nervous system anomaly-syndactyly syndrome,Neonatal,Autosomal recessive,1
404454,Alacrimia-choreoathetosis-liver dysfunction syndrome,"Infancy, Neonatal",Autosomal recessive,1
404443,Tatton-Brown-Rahman syndrome,Neonatal,Autosomal dominant,3
404448,Helsmoortel-Van der Aa syndrome,"Childhood, Infancy",Unknown,2
404437,Diffuse cerebral and cerebellar atrophy-intractable seizures-progressive microcephaly syndrome,"Infancy, Neonatal",Autosomal recessive,1
404560,Familial atypical multiple mole melanoma syndrome,All ages,Autosomal dominant,3
404553,Deficiency of adenosine deaminase 2,"Childhood, Infancy",Autosomal recessive,2
404546,DITRA,All ages,Autosomal recessive,3
404521,Spinal muscular atrophy with respiratory distress type 2,Neonatal,Unknown,3
404514,Acquired cystic disease-associated renal cell carcinoma,"Adult, Elderly",,3
404507,Chondromyxoid fibroma,"Adolescent, Adult, Childhood, Elderly",Not applicable,2
404499,Autosomal recessive cerebellar ataxia-epilepsy-intellectual disability syndrome due to RUBCN deficiency,Infancy,Autosomal recessive,2
404493,Autosomal recessive cerebellar ataxia-epilepsy-intellectual disability syndrome due to TUD deficiency,"Childhood, Infancy",Autosomal recessive,2
404481,Autosomal recessive cerebellar ataxia-epilepsy-intellectual disability syndrome,,Autosomal recessive,3
404476,Global developmental delay-lung cysts-overgrowth-Wilms tumor syndrome,Infancy,Not applicable,2
411527,Central retinal vein occlusion,"Adult, Elderly",Not applicable,3
411536,Mild phosphoribosylpyrophosphate synthetase superactivity,"Adolescent, Adult",X-linked recessive,3
411543,Severe phosphoribosylpyrophosphate synthetase superactivity,"Childhood, Infancy, Neonatal",X-linked recessive,2
411590,Wolfram-like syndrome,Childhood,Autosomal dominant,2
411593,Insulin autoimmune syndrome,"Adult, Elderly",Not applicable,3
411602,Hereditary late-onset Parkinson disease,"Adult, Elderly",Autosomal dominant,3
411629,Infantile nephropathic cystinosis,Infancy,Autosomal recessive,2
411493,Pontocerebellar hypoplasia type 10,Neonatal,Autosomal recessive,1
411501,Williams-Campbell syndrome,"Adult, Childhood",Not applicable,2
411511,Angelman syndrome due to a point mutation,Infancy,Not applicable,2
411515,Angelman syndrome due to imprinting defect in 15q11-q13,Infancy,Not applicable,2
411777,Generalized eruptive keratoacanthoma,"Adult, Elderly",Not applicable,3
411712,Maternal riboflavin deficiency,Adult,Autosomal dominant,3
411788,Familial isolated trichomegaly,Neonatal,Autosomal recessive,1
411986,Early-onset epileptic encephalopathy-cortical blindness-intellectual disability-facial dysmorphism syndrome,Infancy,Autosomal recessive,2
412035,13q12.3 microdeletion syndrome,Neonatal,Unknown,3
412022,Facial dysmorphism-lens dislocation-anterior segment abnormalities-spontaneous filtering blebs syndrome,"Adolescent, Childhood",Autosomal recessive,2
411641,Ocular cystinosis,Adult,Autosomal recessive,3
411634,Juvenile nephropathic cystinosis,"Adolescent, Childhood",Autosomal recessive,2
411709,Renal agenesis,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive",1
411703,Pulmonary non-tuberculous mycobacterial infection,All ages,Not applicable,3
371428,Multicentric osteolysis-nodulosis-arthropathy spectrum,"Childhood, Infancy",Autosomal recessive,2
371364,Hypotonia-speech impairment-severe cognitive delay syndrome,"Infancy, Neonatal",Autosomal recessive,1
391673,Necrotizing enterocolitis,Neonatal,Not applicable,3
391677,Short stature-optic atrophy-Pelger-Huët anomaly syndrome,"Infancy, Neonatal",Autosomal recessive,1
391723,Mucinous adenocarcinoma of the appendix,"Adult, Elderly",,3
391474,Frontorhiny,Neonatal,Autosomal recessive,1
391504,Transient neonatal myasthenia gravis,"Antenatal, Neonatal",Not applicable,3
391497,Juvenile myasthenia gravis,"Adolescent, Childhood, Infancy, Neonatal",Not applicable,2
391490,Adult-onset myasthenia gravis,Adult,"Multigenic/multifactorial, Not applicable",3
391487,STAT1-related autoimmune enteropathy and endocrinopathy-susceptibility to chronic infections syndrome,Infancy,Autosomal dominant,2
391646,Feingold syndrome type 2,"Antenatal, Neonatal",Autosomal dominant,3
391641,Feingold syndrome type 1,"Antenatal, Neonatal",Autosomal dominant,3
391665,Homozygous familial hypercholesterolemia,Neonatal,"Autosomal dominant, Autosomal recessive",1
391655,Off-periods in Parkinson disease not responding to oral treatment,"Adult, Elderly",Not applicable,3
391651,Glomus tumor,All ages,,3
391343,Fatal post-viral neurodegenerative disorder,Childhood,Autosomal recessive,2
391348,Growth and developmental delay-hypotonia-vision impairment-lactic acidosis syndrome,"Infancy, Neonatal",Autosomal recessive,1
391351,SURF1-related Charcot-Marie-Tooth disease type 4,Childhood,Autosomal recessive,2
391366,Growth retardation-mild developmental delay-chronic hepatitis syndrome,"Infancy, Neonatal",Autosomal recessive,1
391372,FOXP1 Syndrome,"Infancy, Neonatal",Autosomal dominant,2
391376,Congenital microcephaly-severe encephalopathy-progressive cerebral atrophy syndrome,"Infancy, Neonatal",Autosomal recessive,1
391384,Familial episodic pain syndrome,"Infancy, Neonatal",Autosomal dominant,2
391389,Familial episodic pain syndrome with predominantly upper body involvement,"Infancy, Neonatal",Autosomal dominant,2
391392,Familial episodic pain syndrome with predominantly lower limb involvement,"Infancy, Neonatal",Autosomal dominant,2
391397,Hereditary sensory and autonomic neuropathy type 7,"Infancy, Neonatal",Autosomal dominant,2
391408,Primary microcephaly-mild intellectual disability-young-onset diabetes syndrome,"Adolescent, Childhood",Autosomal recessive,2
391411,Atypical juvenile parkinsonism,"Adolescent, Adult","Autosomal recessive, Not applicable",3
391417,HSD10 disease,"Childhood, Infancy, Neonatal",X-linked dominant,2
391428,"HSD10 disease, infantile type","Infancy, Neonatal",X-linked dominant,2
391457,"HSD10 disease, neonatal type","Infancy, Neonatal",X-linked dominant,2
391307,Severe intellectual disability-short stature-behavioral abnormalities-facial dysmorphism syndrome,"Infancy, Neonatal",Autosomal recessive,1
391316,Infantile-onset mesial temporal lobe epilepsy with severe cognitive regression,"Infancy, Neonatal",Autosomal recessive,1
391311,Susceptibility to viral and mycobacterial infections due to STAT1 deficiency,,Autosomal recessive,3
391327,X-linked calvarial hyperostosis,"Infancy, Neonatal",X-linked recessive,2
391320,East Texas bleeding disorder,Childhood,Autosomal dominant,2
391330,X-linked osteoporosis with fractures,Childhood,X-linked recessive,2
398063,Refractory celiac disease,All ages,Not applicable,3
398058,Squamous cell carcinoma of the penis,Elderly,,3
398053,Adenocarcinoma of the penis,Elderly,,3
398043,Malignant tumor of penis,Elderly,,3
397973,Intellectual disability-obesity-prognathism-eye and skin anomalies syndrome,Neonatal,Autosomal recessive,1
397968,Charcot-Marie-Tooth disease type 2R,Infancy,Autosomal recessive,2
397964,Combined immunodeficiency due to MALT1 deficiency,Infancy,Autosomal recessive,2
397959,TCR-alpha-beta-positive T-cell deficiency,Infancy,Autosomal recessive,2
397951,Microcephaly-thin corpus callosum-intellectual disability syndrome,Infancy,Autosomal recessive,2
397946,Autosomal spastic paraplegia type 58,"Adolescent, Adult, Childhood, Elderly, Infancy","Autosomal dominant, Autosomal recessive",2
397941,MAN1B1-CDG,"Childhood, Infancy",Autosomal recessive,2
397937,Polyglucosan body myopathy type 1,"Adolescent, Childhood",Autosomal recessive,2
397933,Severe intellectual disability-progressive postnatal microcephaly-midline stereotypic hand movements syndrome,"Infancy, Neonatal",X-linked recessive,2
397927,Sacral agenesis-abnormal ossification of the vertebral bodies-persistent notochordal canal syndrome,"Antenatal, Neonatal",Autosomal recessive,1
397922,Ferro-cerebro-cutaneous syndrome,Infancy,X-linked recessive,2
397787,Combined immunodeficiency due to IKBKB deficiency,Infancy,Autosomal recessive,2
397755,Periodic paralysis with transient compartment-like syndrome,All ages,Autosomal dominant,3
397758,Retinal dystrophy with inner retinal dysfunction and ganglion cell anomalies,Adult,Autosomal dominant,3
397744,MYH14-related peripheral neuropathy-myopathy-hoarseness-hearing loss syndrome,Childhood,Autosomal dominant,2
397750,Periodic paralysis with later-onset distal motor neuropathy,"Adolescent, Adult",Mitochondrial inheritance,3
397725,COASY protein-associated neurodegeneration,Childhood,Autosomal recessive,2
397735,Autosomal dominant Charcot-Marie-Tooth disease type 2U,Adult,Autosomal dominant,3
397709,Intellectual disability-coarse face-macrocephaly-cerebellar hypotrophy syndrome,Infancy,Autosomal recessive,2
397715,Joubert syndrome with Jeune asphyxiating thoracic dystrophy,Neonatal,Autosomal recessive,1
397692,Hereditary isolated aplastic anemia,Childhood,"Autosomal dominant, Autosomal recessive",2
397623,Short stature-auditory canal atresia-mandibular hypoplasia-skeletal anomalies syndrome,Neonatal,Autosomal recessive,1
397685,Familial hyperprolactinemia,Adult,Autosomal dominant,3
397615,Obesity due to CEP19 deficiency,Childhood,Autosomal recessive,2
397618,Foveal hypoplasia-optic nerve decussation defect-anterior segment dysgenesis syndrome,Neonatal,Autosomal recessive,1
397596,Activated PI3K-delta syndrome,"Adult, Childhood, Infancy",Autosomal dominant,2
397593,Severe neonatal lactic acidosis due to NFS1-ISD11 complex deficiency,Neonatal,Autosomal recessive,1
397612,Macrocephaly-developmental delay syndrome,Neonatal,Autosomal recessive,1
397606,PrP systemic amyloidosis,Adult,Autosomal dominant,3
397590,Silver-Russell syndrome due to a point mutation,"Antenatal, Neonatal",Autosomal dominant,3
397587,Deep dermatophytosis,"Adult, Childhood",Not applicable,2
394532,"Multiple acyl-CoA dehydrogenase deficiency, mild type",,Autosomal recessive,3
394529,"Multiple acyl-CoA dehydrogenase deficiency, severe neonatal type","Infancy, Neonatal",Autosomal recessive,1
399808,Male infertility with teratozoospermia due to single gene mutation,"Adolescent, Adult",,3
399805,Male infertility with azoospermia or oligozoospermia due to single gene mutation,"Adolescent, Adult","Autosomal dominant, Autosomal recessive, X-linked recessive",3
399329,Epiphysiolysis of the hip,"Adolescent, Childhood",,2
399180,Secondary non-traumatic avascular necrosis,Adult,Not applicable,3
399058,Alpha-B crystallin-related late-onset myopathy,Adult,Autosomal dominant,3
398987,Malignant teratoma of ovary,"Adolescent, Adult, Childhood, Infancy",Unknown,2
399086,HNRNPA1-related adult-onset distal myopathy,Adult,,3
399081,KLHL9-related early-onset distal myopathy,"Adolescent, Childhood",Autosomal dominant,2
399103,Autosomal recessive distal nebulin myopathy,"Adolescent, Adult, Childhood, Infancy",Autosomal recessive,2
399096,Distal anoctaminopathy,"Adolescent, Adult",Autosomal recessive,3
398934,Malignant epithelial tumor of ovary,Adult,,3
398961,Mucinous adenocarcinoma of ovary,Adult,,3
398940,Malignant non-epithelial tumor of ovary,Adult,,3
398971,Clear cell adenocarcinoma of the ovary,Adult,,3
398124,Neonatal lupus erythematosus,Neonatal,Not applicable,3
398127,Neonatal scleroderma,Neonatal,,3
398147,Persistent idiopathic facial pain,Adult,,3
398156,Oculoauriculofrontonasal syndrome,Neonatal,Unknown,3
398166,Focal facial dermal dysplasia,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive",1
398173,Focal facial dermal dysplasia type II,"Antenatal, Neonatal",Autosomal dominant,3
398189,Focal facial dermal dysplasia type IV,"Antenatal, Neonatal",Autosomal recessive,1
398069,Schaaf-Yang syndrome,"Antenatal, Neonatal",Not applicable,3
398073,Prader-Willi-like syndrome,Neonatal,,3
398079,SIM1-related Prader-Willi-like syndrome,"Antenatal, Infancy, Neonatal",Autosomal dominant,2
398088,Hereditary cryohydrocytosis with normal stomatin,Neonatal,Autosomal dominant,3
398091,Secondary neonatal autoimmune disease,Neonatal,,3
398097,Neonatal antiphospholipid syndrome,Neonatal,,3
398109,Neonatal autoimmune hemolytic anemia,Neonatal,,3
398117,Neonatal dermatomyositis,Neonatal,,3
435628,Keppen-Lubinsky syndrome,Neonatal,"Autosomal dominant, Not applicable",3
435743,Congenital urachal anomaly,"Antenatal, Neonatal",,3
435660,LIPE-related familial partial lipodystrophy,Adult,Autosomal recessive,3
435651,CIDEC-related familial partial lipodystrophy,Adolescent,Autosomal recessive,3
435638,3p25.3 microdeletion syndrome,"Infancy, Neonatal",Not applicable,2
435804,Short stature-advanced bone age-early-onset osteoarthritis syndrome,"Adolescent, Childhood",Autosomal dominant,2
435845,Lethal neonatal spasticity-epileptic encephalopathy syndrome,Neonatal,Autosomal recessive,1
435930,Colobomatous optic disc-macular atrophy-chorioretinopathy syndrome,Neonatal,Autosomal recessive,1
435819,Autosomal dominant Charcot-Marie-Tooth disease type 2 due to TFG mutation,Adult,Autosomal dominant,3
435953,Progeroid features-hepatocellular carcinoma predisposition syndrome,"Adolescent, Childhood",Autosomal recessive,2
435988,Chronic atrial and intestinal dysrhythmia syndrome,"Adolescent, Adult, Childhood",Autosomal recessive,2
