OrphaCode,DiseaseName,AgeOfOnset,TypeOfInheritance,urgency_tier
435934,COG2-CDG,Infancy,Autosomal recessive,2
435938,X-linked microcephaly-growth retardation-prognathism-cryptorchidism syndrome,"Antenatal, Neonatal",X-linked recessive,3
436141,HIDEA syndrome,"Infancy, Neonatal",Autosomal recessive,1
436144,Intrauterine growth restriction-short stature-early adult-onset diabetes syndrome,"Antenatal, Neonatal",Autosomal dominant,3
435998,Autosomal recessive intermediate Charcot-Marie-Tooth disease type D,Childhood,Autosomal recessive,2
436003,Contractures-developmental delay-Pierre Robin syndrome,"Antenatal, Neonatal",Unknown,3
436159,Autoimmune lymphoproliferative syndrome due to CTLA4 haploinsuffiency,"Adolescent, Adult, Childhood",Autosomal dominant,2
436169,Thrombomodulin-related bleeding disorder,All ages,Autosomal dominant,3
436166,Periodic fever-infantile enterocolitis-autoinflammatory syndrome,Neonatal,Autosomal dominant,3
436182,Microcephalic primordial dwarfism-insulin resistance syndrome,"Childhood, Infancy, Neonatal",Autosomal recessive,1
436174,Cataract-growth hormone deficiency-sensory neuropathy-sensorineural hearing loss-skeletal dysplasia syndrome,"Childhood, Infancy",Autosomal recessive,2
436245,Retinitis pigmentosa-juvenile cataract-short stature-intellectual disability syndrome,Childhood,Autosomal recessive,2
436242,Hereditary atrial tachyarrhythmia-infra-Hisian cardiac conduction disease,Adult,Autosomal dominant,3
436271,Non-progressive predominantly posterior cavitating leukoencephalopathy with peripheral neuropathy,Childhood,Autosomal recessive,2
436252,Combined immunodeficiency-multiple intestinal atresia,Neonatal,Autosomal recessive,1
436274,Pseudoxanthoma elasticum-like skin manifestations with retinitis pigmentosa,"Adolescent, Adult, Childhood",Autosomal recessive,2
437552,Autosomal recessive primary immunodeficiency with defective spontaneous natural killer cell cytotoxicity,"Childhood, Infancy, Neonatal",Autosomal recessive,1
438178,Fatty acyl-CoA reductase 1 deficiency,"Infancy, Neonatal",Autosomal recessive,1
438159,STAT3-related early-onset multisystem autoimmune disease,"Childhood, Infancy",Autosomal dominant,2
438134,PCNA-related progressive neurodegenerative photosensitivity syndrome,"Infancy, Neonatal",Autosomal recessive,1
438117,Steel syndrome,"Infancy, Neonatal",Autosomal recessive,1
438114,RARS-related autosomal recessive hypomyelinating leukodystrophy,"Infancy, Neonatal",Autosomal recessive,1
438075,Ketoacidosis due to monocarboxylate transporter-1 deficiency,"Childhood, Infancy","Autosomal dominant, Autosomal recessive",2
438279,Human infection by orthopoxvirus,All ages,Not applicable,3
438274,GCGR-related hyperglucagonemia,Adult,Autosomal recessive,3
438266,Progressive encephalomyelitis with rigidity and myoclonus,"Adult, Infancy",Not applicable,2
438216,PURA-related severe neonatal hypotonia-seizures-encephalopathy syndrome due to a point mutation,"Infancy, Neonatal","Autosomal dominant, Not applicable",2
438213,PURA-related severe neonatal hypotonia-seizures-encephalopathy syndrome,"Infancy, Neonatal","Autosomal dominant, Not applicable, Unknown",2
438207,Severe autosomal recessive macrothrombocytopenia,Infancy,Autosomal recessive,2
439224,ALECT2 amyloidosis,,Not applicable,3
439232,AApoAIV amyloidosis,Adult,Not applicable,3
439212,Early-onset myopathy-areflexia-respiratory distress-dysphagia syndrome,"Infancy, Neonatal",Autosomal recessive,1
439218,KCNQ2-related developmental and epileptic encephalopathy,"Infancy, Neonatal",Autosomal dominant,2
439196,Zinc-responsive necrolytic acral erythema,All ages,Not applicable,3
439202,Non-recovering obstetric brachial plexus lesion,,Not applicable,3
439167,Placental insufficiency,Adult,Not applicable,3
439175,Pediatric arterial ischemic stroke,"Adolescent, Childhood, Infancy, Neonatal",Not applicable,2
439762,Systemic polyarteritis nodosa,,Not applicable,3
439822,PDE4D haploinsufficiency syndrome,"Infancy, Neonatal",Unknown,2
439746,Secondary polyarteritis nodosa,,Not applicable,3
439755,Single-organ polyarteritis nodosa,,Not applicable,3
439729,Cutaneous polyarteritis nodosa,,Not applicable,3
439737,Primary polyarteritis nodosa,,Not applicable,3
439246,ABeta2M amyloidosis,Adult,,3
439254,ITM2B amyloidosis,Adult,Autosomal dominant,3
440221,Congenital oculomotor nerve palsy,Neonatal,Not applicable,3
440233,Congenital abducens nerve palsy,Neonatal,Not applicable,3
439854,Fatal congenital hypertrophic cardiomyopathy due to glycogen storage disease,"Antenatal, Neonatal",Not applicable,3
439849,Autosomal recessive severe congenital neutropenia,,Autosomal recessive,3
439897,Lethal fetal cerebrorenogenitourinary agenesis/hypoplasia syndrome,Antenatal,Autosomal recessive,1
439881,Plastic bronchitis,All ages,,3
440402,Interstitial lung disease due to ABCA3 deficiency,"Childhood, Infancy, Neonatal",Autosomal recessive,1
440354,Autosomal dominant myopia-midfacial retrusion-sensorineural hearing loss-rhizomelic dysplasia syndrome,"Antenatal, Neonatal",Autosomal dominant,3
440392,Interstitial lung disease due to SP-C deficiency,"Adolescent, Adult, Childhood, Infancy, Neonatal",Autosomal dominant,2
440368,Necrotizing soft tissue infection,All ages,Not applicable,3
440713,Isolated sedoheptulokinase deficiency,"Antenatal, Neonatal",Autosomal recessive,1
440727,Combined hamartoma of the retina and retinal pigment epithelium,Childhood,Not applicable,2
440731,L-ferritin deficiency,Childhood,"Autosomal dominant, Autosomal recessive",2
440427,Severe early-onset pulmonary alveolar proteinosis due to MARS deficiency,"Childhood, Infancy",Autosomal recessive,2
440437,Familial colorectal cancer Type X,"Adult, Elderly",Autosomal dominant,3
440706,Ribose-5-P isomerase deficiency,Childhood,Autosomal recessive,2
441447,Early-onset posterior subcapsular cataract,,"Autosomal dominant, Autosomal recessive",3
441452,Early-onset lamellar cataract,,Autosomal dominant,3
440987,Isolated agenesis of gallbladder,All ages,Not applicable,3
443057,Sporadic porphyria cutanea tarda,,Multigenic/multifactorial,3
443062,Familial porphyria cutanea tarda,,Autosomal dominant,3
443079,Central serous chorioretinopathy,,Not applicable,3
443084,Baroreflex failure,All ages,Not applicable,3
443070,Hemicrania continua,,Not applicable,3
443073,Charcot-Marie-Tooth disease type 2S,"Adolescent, Adult, Childhood, Infancy",Autosomal recessive,2
442835,Non-specific early-onset epileptic encephalopathy,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, Not applicable, X-linked recessive",1
442582,AH amyloidosis,Neonatal,Not applicable,3
443197,X-linked erythropoietic protoporphyria,Childhood,X-linked dominant,2
