OrphaCode,DiseaseName,AgeOfOnset,TypeOfInheritance
414,Gyrate atrophy of choroid and retina,Childhood,Autosomal recessive
3402,Transient tyrosinemia of the newborn,Neonatal,
2880,Phosphoenolpyruvate carboxykinase deficiency,"Infancy, Neonatal","Autosomal recessive, Mitochondrial inheritance"
220465,Laron syndrome with immunodeficiency,"Childhood, Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
19,2-hydroxyglutaric aciduria,Childhood,"Autosomal dominant, Autosomal recessive"
2843,Pentosuria,"Infancy, Neonatal",Autosomal recessive
220497,Joubert syndrome with renal defect,"Infancy, Neonatal",Autosomal recessive
220493,Joubert syndrome with ocular defect,"Infancy, Neonatal",Autosomal recessive
470,Lysinuric protein intolerance,"Infancy, Neonatal",Autosomal recessive
2965,Prolactinoma,"Adolescent, Adult, Childhood, Elderly",Autosomal dominant
1578,Pterin-4 alpha-carbinolamine dehydratase deficiency,Neonatal,Autosomal recessive
3208,Isolated succinate-CoQ reductase deficiency,"Infancy, Neonatal",Autosomal recessive
221008,Rothmund-Thomson syndrome type 1,"Infancy, Neonatal",Autosomal recessive
24,Fumaric aciduria,"Infancy, Neonatal",Autosomal recessive
221016,Rothmund-Thomson syndrome type 2,"Infancy, Neonatal",Autosomal recessive
1561,Fatal infantile cytochrome C oxidase deficiency,"Infancy, Neonatal",Autosomal recessive
221039,"Hereditary sclerosing poikiloderma, Weary type",Childhood,
1460,Isolated complex III deficiency,"Childhood, Infancy, Neonatal","Autosomal recessive, Mitochondrial inheritance"
851,Paris-Trousseau thrombocytopenia,"Infancy, Neonatal",
221043,Hereditary fibrosing poikiloderma-tendon contractures-myopathy-pulmonary fibrosis syndrome,Infancy,Autosomal dominant
221046,Poikiloderma with neutropenia,"Childhood, Infancy, Neonatal",Autosomal recessive
745,Severe hereditary thrombophilia due to congenital protein C deficiency,Neonatal,"Autosomal dominant, Autosomal recessive"
221054,Acrocephalopolydactyly,"Infancy, Neonatal",Autosomal recessive
849,Glanzmann thrombasthenia,"Infancy, Neonatal",Autosomal recessive
225154,Familial infantile bilateral striatal necrosis,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, Mitochondrial inheritance"
221120,Pseudoaminopterin syndrome,"Antenatal, Neonatal",
221126,Fowler vasculopathy,"Antenatal, Neonatal",Autosomal recessive
221139,Combined immunodeficiency with facio-oculo-skeletal anomalies,Neonatal,Multigenic/multifactorial
221145,"Cutis laxa with severe pulmonary, gastrointestinal and urinary anomalies",Neonatal,Autosomal recessive
228003,Severe combined immunodeficiency due to CORO1A deficiency,"Childhood, Infancy, Neonatal",Autosomal recessive
547,Non-Hodgkin lymphoma,"Adolescent, Adult, Childhood, Elderly, Infancy",
227976,"Autosomal recessive optic atrophy, OPA7 type",Childhood,Autosomal recessive
227796,Fundus albipunctatus,Childhood,"Autosomal dominant, Autosomal recessive"
668,Osteosarcoma,Childhood,Not applicable
226292,Permanent congenital hypothyroidism,"Infancy, Neonatal","Autosomal recessive, Not applicable"
1501,Adrenocortical carcinoma,Childhood,Not applicable
226316,Genetic transient congenital hypothyroidism,"Infancy, Neonatal",Autosomal recessive
226307,Hypothyroidism due to deficient transcription factors involved in pituitary development or function,Infancy,"Autosomal dominant, Autosomal recessive"
3148,Malignant peripheral nerve sheath tumor,"Adolescent, Adult, Childhood, Elderly, Infancy",Not applicable
226313,Congenital hypothyroidism due to maternal intake of antithyroid drugs,"Infancy, Neonatal",
503,Larsen syndrome,"Antenatal, Infancy, Neonatal",Autosomal dominant
1652,Dent disease,Childhood,X-linked recessive
2542,Isolated microphthalmia-anophthalmia-coloboma,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive, X-linked recessive"
2478,Megalencephalic leukoencephalopathy with subcortical cysts,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
3337,Primary Fanconi renotubular syndrome,"Childhood, Infancy","Autosomal dominant, Autosomal recessive"
223,Arginine vasopressin resistance,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, X-linked recessive"
521,Chronic myeloid leukemia,"Adolescent, Adult, Childhood, Infancy",Not applicable
228415,5q35 microduplication syndrome,Childhood,"Not applicable, Unknown"
132,Hereditary butyrylcholinesterase deficiency,"Infancy, Neonatal",Autosomal recessive
229717,Non-syndromic agammaglobulinemia,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, X-linked recessive"
228426,Syndromic multisystem autoimmune disease due to Itch deficiency,"Infancy, Neonatal",Autosomal recessive
2345,Isolated Klippel-Feil syndrome,"Antenatal, Infancy, Neonatal","Autosomal dominant, Autosomal recessive, Not applicable"
228396,Ptosis-upper ocular movement limitation-absence of lacrimal punctum syndrome,"Infancy, Neonatal",Autosomal recessive
228387,Spondylo-megaepiphyseal-metaphyseal dysplasia,"Infancy, Neonatal",Autosomal recessive
228390,Frontonasal dysplasia-alopecia-genital anomalies syndrome,"Antenatal, Infancy, Neonatal",Autosomal recessive
228410,Cardiac anomalies-short stature-joint hypermobility-facial dysmorphism syndrome,"Infancy, Neonatal",Autosomal dominant
228399,8q12 microduplication syndrome,"Infancy, Neonatal","Not applicable, Unknown"
228402,2q23.1 microdeletion syndrome,"Infancy, Neonatal","Not applicable, Unknown"
228366,CLN7 disease,Infancy,
228363,CLN6 disease,Infancy,Autosomal recessive
228360,CLN5 disease,Infancy,
228384,5q14.3 microdeletion syndrome,"Infancy, Neonatal","Not applicable, Unknown"
228374,Charcot-Marie-Tooth disease type 2B5,"Childhood, Infancy",Autosomal recessive
228337,CLN10 disease,"Adult, Antenatal, Infancy",Autosomal recessive
228329,CLN1 disease,Infancy,Autosomal recessive
228354,CLN8 disease,Infancy,Autosomal recessive
228349,CLN2 disease,Infancy,Autosomal recessive
228346,CLN3 disease,Infancy,Autosomal recessive
228302,"Carnitine palmitoyl transferase II deficiency, myopathic form","Adolescent, Adult, Childhood, Infancy",Autosomal recessive
228305,"Carnitine palmitoyl transferase II deficiency, severe infantile form","Infancy, Neonatal",Autosomal recessive
228308,"Carnitine palmitoyl transferase II deficiency, neonatal form",Neonatal,Autosomal recessive
135,CACH syndrome,Childhood,Autosomal recessive
228254,Elastoma,Childhood,Not applicable
228190,Patent ductus arteriosus-bicuspid aortic valve-hand anomalies syndrome,"Infancy, Neonatal",Autosomal dominant
3203,Overhydrated hereditary stomatocytosis,"Infancy, Neonatal",Autosomal dominant
3202,Dehydrated hereditary stomatocytosis,"Antenatal, Neonatal",Autosomal dominant
1018,X-linked Alport syndrome-diffuse leiomyomatosis,"Adolescent, Adult, Childhood",X-linked dominant
306,Self-limited infantile epilepsy,"Infancy, Neonatal",Autosomal dominant
231512,Hermansky-Pudlak syndrome due to BLOC-2 deficiency,"Infancy, Neonatal",Autosomal recessive
256,Early-onset generalized limb-onset dystonia,"Adolescent, Adult, Childhood",Autosomal dominant
231500,Hermansky-Pudlak syndrome due to BLOC-3 deficiency,"Infancy, Neonatal",Autosomal recessive
2073,Narcolepsy type 1,"Adolescent, Adult, Childhood",Unknown
2611,Linear verrucous nevus syndrome,Neonatal,
809,Mixed connective tissue disease,"Adolescent, Adult, Childhood",Multigenic/multifactorial
1309,Medullary sponge kidney,"Adult, Childhood","Autosomal dominant, Not applicable"
231249,Hemoglobin E-beta-thalassemia syndrome,"Adolescent, Adult, Childhood, Infancy",Autosomal recessive
231242,Hemoglobin C-beta-thalassemia syndrome,"Adolescent, Adult, Childhood, Infancy",Autosomal recessive
2197,Idiopathic hypercalciuria,"Adolescent, Adult, Childhood",Autosomal dominant
231237,Delta-beta-thalassemia,"Infancy, Neonatal",Autosomal recessive
231226,Unstable beta globin chain variant disease,Childhood,Autosomal dominant
231222,Beta-thalassemia intermedia,Childhood,Autosomal recessive
231214,Beta-thalassemia major,"Infancy, Neonatal",Autosomal recessive
231183,Usher syndrome type 3,"Adolescent, Childhood",Autosomal recessive
347,Frasier syndrome,"Adolescent, Adult, Childhood",Autosomal dominant
231178,Usher syndrome type 2,"Infancy, Neonatal",Autosomal recessive
1670,Chronic diarrhea with villous atrophy,Infancy,
2596,Myopathy and diabetes mellitus,"Adolescent, Adult, Childhood, Infancy, Neonatal",Mitochondrial inheritance
231154,Combined immunodeficiency due to partial RAG1 deficiency,"Infancy, Neonatal",Autosomal recessive
231169,Usher syndrome type 1,"Infancy, Neonatal",Autosomal recessive
231137,Silver-Russell syndrome due to 7p11.2p13 microduplication,"Infancy, Neonatal","Autosomal dominant, Not applicable"
231140,Silver-Russell syndrome due to an imprinting defect of 11p15,"Antenatal, Neonatal","Not applicable, Unknown"
231144,Silver-Russell syndrome due to 11p15 microduplication,"Antenatal, Neonatal","Autosomal dominant, Not applicable"
231147,Silver-Russell syndrome due to maternal uniparental disomy of chromosome 11,"Infancy, Neonatal","Not applicable, Unknown"
231120,Beckwith-Wiedemann syndrome due to CDKN1C mutation,"Infancy, Neonatal",Autosomal dominant
231130,Beckwith-Wiedemann syndrome due to 11p15 translocation/inversion,"Infancy, Neonatal",
231108,Rhabdoid tumor predisposition syndrome,Childhood,Autosomal dominant
231117,Beckwith-Wiedemann syndrome due to imprinting defect of 11p15,"Infancy, Neonatal",
230857,Ehlers-Danlos/osteogenesis imperfecta syndrome,"Infancy, Neonatal",Autosomal dominant
230851,Cardiac-valvular Ehlers-Danlos syndrome,"Infancy, Neonatal",Autosomal recessive
231031,Erythema palmare hereditarium,"Infancy, Neonatal",Autosomal dominant
231013,Congenital trigeminal anesthesia,"Infancy, Neonatal",Not applicable
230839,Classical-like Ehlers-Danlos syndrome type 1,"Childhood, Infancy, Neonatal",Autosomal recessive
238446,15q11q13 microduplication syndrome,"Infancy, Neonatal","Not applicable, Unknown"
238329,Severe X-linked mitochondrial encephalomyopathy,"Infancy, Neonatal",X-linked recessive
231573,Congenital erosive and vesicular dermatosis,"Infancy, Neonatal",Not applicable
231556,Late-onset localized junctional epidermolysis bullosa-intellectual disability syndrome,Childhood,Unknown
231568,Autosomal dominant generalized dystrophic epidermolysis bullosa,"Infancy, Neonatal",Autosomal dominant
1900,Kyphoscoliotic Ehlers-Danlos syndrome due to lysyl hydroxylase 1 deficiency,"Infancy, Neonatal",Autosomal recessive
231671,Isolated growth hormone deficiency type IB,"Infancy, Neonatal",Autosomal recessive
286,Vascular Ehlers-Danlos syndrome,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
231679,Isolated growth hormone deficiency type II,"Infancy, Neonatal",Autosomal dominant
231662,Isolated growth hormone deficiency type IA,"Infancy, Neonatal",Autosomal recessive
231736,Microcornea-posterior megalolenticonus-persistent fetal vasculature-coloboma syndrome,"Infancy, Neonatal",Unknown
231742,Epibulbar lipodermoid-preauricular appendage-polythelia syndrome,"Infancy, Neonatal",Autosomal dominant
257,Epidermolysis bullosa simplex with muscular dystrophy,"Infancy, Neonatal",Autosomal recessive
1901,Dermatosparaxis Ehlers-Danlos syndrome,"Infancy, Neonatal",Autosomal recessive
231692,Isolated growth hormone deficiency type III,"Infancy, Neonatal",X-linked recessive
231720,Non-acquired combined pituitary hormone deficiency-sensorineural hearing loss-spine abnormalities syndrome,"Infancy, Neonatal",Autosomal recessive
1899,Arthrochalasia Ehlers-Danlos syndrome,"Infancy, Neonatal",Autosomal dominant
839,"Congenital nephrotic syndrome, Finnish type","Antenatal, Infancy, Neonatal",Autosomal recessive
531,Miller-Dieker syndrome,"Antenatal, Infancy, Neonatal",Autosomal dominant
1084,Isolated lissencephaly type 1 without known genetic defects,"Infancy, Neonatal",Unknown
1083,Microlissencephaly,"Infancy, Neonatal",Autosomal recessive
452,X-linked lissencephaly with abnormal genitalia,Neonatal,X-linked recessive
238750,4q21 microdeletion syndrome,"Infancy, Neonatal","Not applicable, Unknown"
238763,Glaucoma secondary to spherophakia/ectopia lentis and megalocornea,"Infancy, Neonatal",Autosomal recessive
238722,Familial congenital mirror movements,"Childhood, Infancy","Autosomal dominant, Autosomal recessive"
238744,Mammary-digital-nail syndrome,"Infancy, Neonatal",Autosomal dominant
238769,1q44 microdeletion syndrome,"Infancy, Neonatal","Not applicable, Unknown"
238517,Hypotonia-cystinuria type 1 syndrome,"Infancy, Neonatal",Autosomal recessive
238505,Combined immunodeficiency due to CD27 deficiency,"Adolescent, Adult, Childhood, Infancy",Autosomal recessive
238468,Hypohidrotic ectodermal dysplasia,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, X-linked recessive"
238475,Familial hypercholanemia,"Infancy, Neonatal",Autosomal recessive
238455,Infantile dystonia-parkinsonism,"Infancy, Neonatal",Autosomal recessive
238459,SLC35A1-CDG,"Infancy, Neonatal",No data available
238578,Familial clubfoot due to 17q23.1q23.2 microduplication,"Infancy, Neonatal","Autosomal dominant, Not applicable"
238583,Hyperphenylalaninemia due to tetrahydrobiopterin deficiency,"Infancy, Neonatal",Autosomal recessive
238557,Chuvash erythrocytosis,"Infancy, Neonatal",Autosomal recessive
238569,Immune dysregulation-inflammatory bowel disease-arthritis-recurrent infections syndrome,"Infancy, Neonatal",Autosomal recessive
238523,Atypical hypotonia-cystinuria syndrome,"Infancy, Neonatal",Autosomal recessive
238536,Congenital secondary polycythemia,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
238637,Megacystis-megaureter syndrome,"Infancy, Neonatal",
238688,Neonatal iodine exposure,"Infancy, Neonatal",Not applicable
238666,Isolated congenital hypogonadotropic hypogonadism,"Adolescent, Infancy, Neonatal","Autosomal dominant, Autosomal recessive, Oligogenic, Unknown, X-linked recessive"
238654,"Congenital primary megaureter, nonrefluxing and unobstructed form","Infancy, Neonatal",Unknown
238650,"Congenital primary megaureter, refluxing form","Infancy, Neonatal",Unknown
238646,"Congenital primary megaureter, obstructed form","Infancy, Neonatal",Unknown
240760,Nijmegen breakage syndrome-like disorder,Neonatal,Autosomal recessive
331226,Susceptibility to infection due to TYK2 deficiency,Infancy,Autosomal recessive
331176,Severe congenital neutropenia due to G6PC3 deficiency,"Infancy, Neonatal",Autosomal recessive
331190,Immunodeficiency due to ficolin3 deficiency,Childhood,Autosomal recessive
331206,Severe combined immunodeficiency due to complete RAG1/2 deficiency,Infancy,Autosomal recessive
330029,Hypotrichosis-deafness syndrome,"Infancy, Neonatal",Autosomal dominant
330058,Hydroa vacciniforme,Childhood,Not applicable
330061,Actinic prurigo,Childhood,"Multigenic/multifactorial, Not applicable"
330050,DNM1L-related encephalopathy due to mitochondrial and peroxisomal fission defect,"Childhood, Infancy, Neonatal",Autosomal dominant
330054,Congenital cataract-progressive muscular hypotonia-hearing loss-developmental delay syndrome,"Infancy, Neonatal",Autosomal recessive
329813,Mosaic genome-wide paternal uniparental disomy syndrome,"Antenatal, Neonatal",
329802,5p13 microduplication syndrome,"Infancy, Neonatal","Not applicable, Unknown"
329874,Idiopathic giant cell myocarditis,"Adolescent, Adult, Childhood, Infancy",
329481,Lipoprotein glomerulopathy,"Adolescent, Adult, Childhood, Elderly",Autosomal dominant
329942,Transient neonatal multiple acyl-CoA dehydrogenase deficiency,"Infancy, Neonatal",Autosomal dominant
329894,Juvenile overlap myositis,"Adolescent, Childhood",
329308,Fatty acid hydroxylase-associated neurodegeneration,"Adolescent, Childhood",Autosomal recessive
329319,Thrombocythemia with distal limb defects,"Infancy, Neonatal",Autosomal dominant
329284,Beta-propeller protein-associated neurodegeneration,Childhood,X-linked dominant
329457,Distal arthrogryposis type 5D,Neonatal,Autosomal recessive
329469,Acute megakaryoblastic leukemia in children without Down syndrome,Childhood,Not applicable
329329,Autosomal recessive frontotemporal pachygyria,"Infancy, Neonatal",Autosomal recessive
329332,Microcephaly-cerebellar hypoplasia-cardiac conduction defect syndrome,"Infancy, Neonatal",Autosomal recessive
329228,Microcephalic primordial dwarfism due to ZNF335 deficiency,"Antenatal, Neonatal",Autosomal recessive
329224,Schuurs-Hoeijmakers syndrome,"Antenatal, Infancy, Neonatal",Autosomal dominant
329195,Developmental delay with autism spectrum disorder and gait instability,"Infancy, Neonatal",Autosomal recessive
329191,Tall stature-long halluces-multiple extra-epiphyses syndrome,Childhood,Autosomal dominant
329178,Congenital muscular dystrophy with intellectual disability and severe epilepsy,"Infancy, Neonatal",Autosomal recessive
329249,Severe early-onset obesity-insulin resistance syndrome due to SH2B1 deficiency,Childhood,Autosomal dominant
329242,Congenital chronic diarrhea with protein-losing enteropathy,"Infancy, Neonatal",Autosomal recessive
329235,X-linked central congenital hypothyroidism with late-onset testicular enlargement,"Infancy, Neonatal",X-linked recessive
329173,Autoinflammatory syndrome with pyogenic bacterial infection and amylopectinosis,"Infancy, Neonatal",Autosomal recessive
1243,Best vitelliform macular dystrophy,"Adolescent, Childhood",Autosomal dominant
325124,Testicular agenesis,Neonatal,
325345,"46,XY ovotesticular difference of sex development","Antenatal, Neonatal",
324964,Chronic nonbacterial osteomyelitis/Chronic recurrent multifocal osteomyelitis,"Adolescent, Childhood",Not applicable
324972,MAGIC syndrome,"Adolescent, Adult, Childhood",
324977,Proteasome-associated autoinflammatory syndrome,"Childhood, Infancy, Neonatal",Autosomal recessive
324936,Unclassified autoinflammatory syndrome,"Antenatal, Infancy, Neonatal",
324737,SRD5A3-CDG,"Infancy, Neonatal",Autosomal recessive
324611,Autosomal dominant Charcot-Marie-Tooth disease type 2 due to KIF5A mutation,"Adolescent, Adult, Childhood, Elderly, Infancy",Autosomal dominant
324604,Classic multiminicore myopathy,"Infancy, Neonatal",Autosomal recessive
324588,Familial dyskinesia and facial myokymia,Childhood,Autosomal dominant
324601,X-linked cleft palate and ankyloglossia,"Infancy, Neonatal","X-linked dominant, X-linked recessive"
324581,Benign Samaritan congenital myopathy,"Infancy, Neonatal",Autosomal recessive
324569,Pontocerebellar hypoplasia type 8,"Infancy, Neonatal",Autosomal recessive
324575,Hyperinsulinism due to HNF1A deficiency,"Infancy, Neonatal",Autosomal dominant
324540,Aphonia-deafness-retinal dystrophy-bifid halluces-intellectual disability syndrome,"Infancy, Neonatal",Autosomal recessive
324561,Hypopigmentation-punctate palmoplantar keratoderma syndrome,"Infancy, Neonatal",Autosomal dominant
324530,Autoinflammation-PLCG2-associated antibody deficiency-immune dysregulation,"Infancy, Neonatal",Autosomal dominant
324535,Combined oxidative phosphorylation defect type 11,"Infancy, Neonatal",Autosomal recessive
324525,Hypertrophic cardiomyopathy with kidney anomalies due to mitochondrial DNA mutation,"Infancy, Neonatal",No data available
324442,Autosomal recessive axonal neuropathy with neuromyotonia,Childhood,Autosomal recessive
324416,Muscular hypertrophy-hepatomegaly-polyhydramnios syndrome,"Infancy, Neonatal",Autosomal dominant
324422,ALG13-CDG,"Infancy, Neonatal",X-linked recessive
324410,X-linked intellectual disability-cardiomegaly-congestive heart failure syndrome,"Infancy, Neonatal",X-linked recessive
324364,Mixed sclerosing bone dystrophy with extra-skeletal manifestations,Neonatal,
324353,Congenital achiasma,"Infancy, Neonatal",
324321,Sinoatrial node dysfunction and deafness,"Infancy, Neonatal",Autosomal recessive
324313,9p13 microdeletion syndrome,"Infancy, Neonatal","Not applicable, Unknown"
324307,Severe lateral tibial bowing-short stature-mild winged scapula-mild facial dysmorphism syndrome,Childhood,Unknown
324299,Multiple paragangliomas associated with polycythemia,Childhood,Not applicable
324294,T-cell immunodeficiency with epidermodysplasia verruciformis,Childhood,Autosomal recessive
324290,PRDM8-related progressive myoclonus epilepsy,Childhood,Autosomal recessive
324262,Autosomal recessive congenital cerebellar ataxia due to MGLUR1 deficiency,"Infancy, Neonatal",Autosomal recessive
320370,Autosomal recessive spastic paraplegia type 43,"Adolescent, Childhood",Autosomal recessive
320380,Autosomal recessive spastic paraplegia type 54,"Childhood, Infancy",Autosomal recessive
320375,Autosomal recessive spastic paraplegia type 55,Childhood,Autosomal recessive
320391,Autosomal recessive spastic paraplegia type 46,"Childhood, Infancy",Autosomal recessive
320385,Hereditary sensory and autonomic neuropathy due to TECPR2 mutation,Infancy,Autosomal recessive
320396,Autosomal recessive spastic paraplegia type 45,Infancy,Autosomal recessive
320411,Autosomal recessive spastic paraplegia type 56,"Childhood, Infancy, Neonatal",Autosomal recessive
320406,Spastic paraplegia-optic atrophy-neuropathy syndrome,"Childhood, Infancy",Autosomal recessive
319547,Mendelian susceptibility to mycobacterial diseases due to complete IFNgammaR2 deficiency,"Infancy, Neonatal",Autosomal recessive
319519,Combined oxidative phosphorylation defect type 14,"Infancy, Neonatal",Autosomal recessive
319524,Combined oxidative phosphorylation defect type 15,"Childhood, Infancy",Autosomal recessive
319509,Combined oxidative phosphorylation defect type 9,Infancy,Autosomal recessive
319514,Combined oxidative phosphorylation defect type 13,Infancy,Autosomal recessive
319589,Autosomal dominant mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR2 deficiency,Infancy,Autosomal dominant
319595,Mendelian susceptibility to mycobacterial diseases due to partial STAT1 deficiency,Childhood,Autosomal dominant
319574,Autosomal recessive mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR2 deficiency,Infancy,Autosomal recessive
319563,Mendelian susceptibility to mycobacterial diseases due to complete ISG15 deficiency,Childhood,Autosomal recessive
319569,Autosomal recessive mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR1 deficiency,Infancy,Autosomal recessive
319552,Mendelian susceptibility to mycobacterial diseases due to complete IL12RB1 deficiency,Childhood,Autosomal recessive
319558,Mendelian susceptibility to mycobacterial diseases due to complete IL12B deficiency,"Infancy, Neonatal",Autosomal recessive
319651,Constitutional megaloblastic anemia with severe neurologic disease,"Childhood, Infancy",Autosomal recessive
319646,PGM1-CDG,"Infancy, Neonatal",Autosomal recessive
319635,Amyloidosis cutis dyschromia,Childhood,Autosomal recessive
319605,X-linked mendelian susceptibility to mycobacterial diseases,"Adolescent, Childhood, Infancy",X-linked recessive
319600,Mendelian susceptibility to mycobacterial diseases due to partial IRF8 deficiency,"Infancy, Neonatal",Autosomal dominant
319678,Encephalopathy-hypertrophic cardiomyopathy-renal tubular disease syndrome,Neonatal,Autosomal recessive
319675,"Microcephalic primordial dwarfism, Dauber type","Antenatal, Neonatal",Autosomal recessive
319671,Alazami syndrome,"Antenatal, Neonatal",Autosomal recessive
319308,MiT family translocation renal cell carcinoma,"Adolescent, Adult, Childhood, Elderly, Infancy",
319332,Autosomal recessive myogenic arthrogryposis multiplex congenita,Neonatal,Autosomal recessive
319340,Carney complex-trismus-pseudocamptodactyly syndrome,Neonatal,Not applicable
319504,Combined oxidative phosphorylation defect type 8,"Infancy, Neonatal",Autosomal recessive
319195,Chondroectodermal dysplasia with night blindness,"Infancy, Neonatal",
319199,Autosomal recessive spastic paraplegia type 53,Infancy,Autosomal recessive
319160,Congenital myopathy with internal nuclei and atypical cores,Neonatal,Autosomal dominant
319171,Distal 17p13.1 microdeletion syndrome,"Infancy, Neonatal",Not applicable
319192,Diencephalic-mesencephalic junction dysplasia,"Antenatal, Neonatal",Autosomal recessive
319182,Wiedemann-Steiner syndrome,"Childhood, Infancy, Neonatal",Autosomal dominant
317428,Combined immunodeficiency due to ORAI1 deficiency,"Infancy, Neonatal",Autosomal recessive
317425,Severe combined immunodeficiency due to DNA-PKcs deficiency,"Infancy, Neonatal",Autosomal recessive
317430,Combined immunodeficiency due to STIM1 deficiency,"Infancy, Neonatal",Autosomal recessive
317473,Common variable immunodeficiency phenotype due to IKAROS functional haploinsufficiency,"Adolescent, Adult, Childhood, Infancy, Neonatal",Autosomal dominant
317476,XMEN,"Adolescent, Adult, Childhood",X-linked recessive
315311,"Classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency, simple virilizing form","Infancy, Neonatal",Autosomal recessive
315306,"Classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency, salt wasting form","Infancy, Neonatal",Autosomal recessive
314993,Cataract-congenital heart disease-neural tube defect syndrome,"Infancy, Neonatal",
314978,X-linked non progressive cerebellar ataxia,"Infancy, Neonatal",X-linked recessive
314918,Mild Canavan disease,Childhood,Autosomal recessive
314911,Severe Canavan disease,"Infancy, Neonatal",Autosomal recessive
314679,Cerebrofacioarticular syndrome,"Infancy, Neonatal",Autosomal recessive
314667,TMEM165-CDG,"Infancy, Neonatal",Autosomal recessive
314689,Combined immunodeficiency due to STK4 deficiency,Childhood,Autosomal recessive
314647,Non-progressive cerebellar ataxia with intellectual disability,"Infancy, Neonatal",Autosomal dominant
314662,Segmental progressive overgrowth syndrome with fibroadipose hyperplasia,"Antenatal, Neonatal",Not applicable
314655,Severe neonatal hypotonia-seizures-encephalopathy syndrome due to 5q31.3 microdeletion,"Infancy, Neonatal",Unknown
314629,CLN11 disease,"Adolescent, Infancy",
314621,Duplication of the pituitary gland,"Infancy, Neonatal",Not applicable
314637,Mitochondrial hypertrophic cardiomyopathy with lactic acidosis due to MTO1 deficiency,"Infancy, Neonatal",Unknown
314632,CLN12 disease,Childhood,Autosomal recessive
314802,Short stature due to partial GHR deficiency,Childhood,Unknown
314811,Short stature due to GHSR deficiency,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
314889,Autosomal dominant proximal renal tubular acidosis,Childhood,Autosomal dominant
314777,Familial isolated pituitary adenoma,"Adolescent, Adult, Childhood, Elderly, Infancy",Autosomal dominant
314795,SHOX-related short stature,"Infancy, Neonatal",Autosomal dominant
314718,Lethal arteriopathy syndrome due to fibulin-4 deficiency,"Infancy, Neonatal",Autosomal recessive
314721,Atypical dentin dysplasia due to SMOC2 deficiency,"Infancy, Neonatal",Autosomal recessive
370127,Medich giant platelet syndrome,"Infancy, Neonatal",
370097,Oculocutaneous albinism type 6,"Infancy, Neonatal",Autosomal recessive
370091,Oculocutaneous albinism type 5,"Infancy, Neonatal",Autosomal recessive
370396,Small cell carcinoma of the ovary,"Adolescent, Adult, Childhood, Infancy",Not applicable
370348,Peripheral primitive neuroectodermal tumor,"Adolescent, Adult, Childhood",Not applicable
370334,Extraskeletal Ewing sarcoma,"Adolescent, Adult, Childhood",Not applicable
370046,Didymosis aplasticosebacea,"Infancy, Neonatal",Not applicable
370034,Familial syringomyelia,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
370039,Angora hair nevus,"Infancy, Neonatal","Not applicable, Unknown"
370022,Ataxia-intellectual disability-oculomotor apraxia-cerebellar cysts syndrome,"Infancy, Neonatal",Autosomal recessive
370015,"Spondyloepimetaphyseal dysplasia, Isidor-Toutain type","Infancy, Neonatal",Autosomal dominant
370088,Acute infantile liver failure-multisystemic involvement syndrome,"Infancy, Neonatal",Autosomal recessive
370076,Fetal carbamazepine syndrome,"Antenatal, Infancy, Neonatal",Not applicable
370079,Proximal 16p11.2 microduplication syndrome,"Infancy, Neonatal",
370052,SCALP syndrome,Neonatal,Not applicable
371007,Congenital muscular dystrophy with hyperlaxity,Neonatal,
370997,Muscle-eye-brain disease with bilateral multicystic leucodystrophy,Infancy,Autosomal recessive
370921,STT3A-CDG,"Infancy, Neonatal",Autosomal recessive
370924,STT3B-CDG,"Infancy, Neonatal",Autosomal recessive
370927,SSR4-CDG,"Infancy, Neonatal",X-linked recessive
370930,XYLT1-CDG,"Infancy, Neonatal",Autosomal recessive
370959,Congenital muscular dystrophy with cerebellar involvement,"Infancy, Neonatal",Autosomal recessive
370968,Congenital muscular dystrophy with intellectual disability,"Infancy, Neonatal",Autosomal recessive
370980,Congenital muscular dystrophy without intellectual disability,"Infancy, Neonatal",Autosomal recessive
370943,Autism spectrum disorder-epilepsy-arthrogryposis syndrome,"Infancy, Neonatal",Autosomal recessive
369929,Primary hyperaldosteronism-seizures-neurological abnormalities syndrome,"Infancy, Neonatal",Not applicable
369920,Pontocerebellar hypoplasia type 9,"Infancy, Neonatal",Autosomal recessive
369942,CADDS,"Infancy, Neonatal",X-linked recessive
369939,Severe motor and intellectual disabilities-sensorineural deafness-dystonia syndrome,"Infancy, Neonatal",Autosomal recessive
369955,"Methylmalonic acidemia with homocystinuria, type cblJ","Infancy, Neonatal",Autosomal recessive
