OrphaCode,DiseaseName,AgeOfOnset,TypeOfInheritance
163665,"Spondyloepiphyseal dysplasia tarda, Kohn type",Childhood,Autosomal recessive
508,Donohue syndrome,"Antenatal, Neonatal",Autosomal recessive
163596,Hemoglobin Bart's fetalis syndrome,"Antenatal, Neonatal",Autosomal recessive
429,Hypochondroplasia,"Adolescent, Adult, Antenatal, Childhood, Infancy, Neonatal",Autosomal dominant
2182,Hydrocephalus with stenosis of the aqueduct of Sylvius,"Antenatal, Neonatal",X-linked recessive
163634,Maffucci syndrome,Childhood,Not applicable
163708,Cryptogenic late-onset epileptic spasms,Childhood,
636,Neurofibromatosis type 1,"Infancy, Neonatal",Autosomal dominant
649,Norrie disease,"Antenatal, Neonatal",X-linked recessive
163727,Rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome,Infancy,Autosomal recessive
163721,Rolandic epilepsy-speech dyspraxia syndrome,"Antenatal, Infancy, Neonatal","Autosomal dominant, X-linked dominant"
163684,Leukoencephalopathy-dystonia-motor neuropathy syndrome,Childhood,Autosomal recessive
163681,CNTNAP2-related developmental and epileptic encephalopathy,Infancy,Autosomal recessive
379,Chronic granulomatous disease,"Adolescent, Adult, Childhood, Infancy","Autosomal recessive, X-linked recessive"
16,Blue cone monochromatism,Infancy,X-linked recessive
644,NARP syndrome,Childhood,Mitochondrial inheritance
181,X-linked hypohidrotic ectodermal dysplasia,"Childhood, Infancy",X-linked recessive
163693,2p21 microdeletion syndrome,"Infancy, Neonatal",Autosomal recessive
163690,Hypotonia-cystinuria syndrome,"Infancy, Neonatal",Autosomal recessive
337,Fibrodysplasia ossificans progressiva,Childhood,"Autosomal dominant, Not applicable"
648,Noonan syndrome,"Antenatal, Childhood, Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
281,Monosomy 5p syndrome,Antenatal,"Not applicable, Unknown"
752,"46,XY difference of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency","Adolescent, Neonatal",Autosomal recessive
510,Lesch-Nyhan syndrome,Infancy,X-linked recessive
699,Pearson syndrome,"Childhood, Infancy, Neonatal","Mitochondrial inheritance, Not applicable"
640,Hereditary neuropathy with liability to pressure palsies,"Adolescent, Adult, Childhood, Elderly, Infancy",Autosomal dominant
895,Waardenburg syndrome type 2,Neonatal,Autosomal dominant
896,Waardenburg syndrome type 3,Neonatal,"Autosomal dominant, Autosomal recessive"
894,Waardenburg syndrome type 1,Neonatal,Autosomal dominant
682,Hyperkalemic periodic paralysis,Childhood,Autosomal dominant
800,Schwartz-Jampel syndrome,"Infancy, Neonatal",Autosomal recessive
628,Diastrophic dysplasia,"Antenatal, Neonatal",Autosomal recessive
681,Hypokalemic periodic paralysis,"Adolescent, Childhood",Autosomal dominant
126,Blepharophimosis-ptosis-epicanthus inversus syndrome,Antenatal,"Autosomal dominant, Not applicable"
107,BOR syndrome,"Antenatal, Childhood, Infancy, Neonatal",Autosomal dominant
794,Saethre-Chotzen syndrome,"Antenatal, Neonatal",Autosomal dominant
710,Pfeiffer syndrome,"Antenatal, Neonatal",Autosomal dominant
2869,Peutz-Jeghers syndrome,"Adolescent, Adult, Childhood",Autosomal dominant
893,WAGR syndrome,"Antenatal, Neonatal",Autosomal dominant
912,Zellweger syndrome,Neonatal,Autosomal recessive
50,Aicardi syndrome,Neonatal,X-linked dominant
