OrphaCode,DiseaseName,AgeOfOnset,TypeOfInheritance,urgency_tier,onset_score,rarity_weight,OMIM,MONDO,ICD-10,DisorderType
269197,Glioependymal/ependymal cyst,"Infancy, Neonatal",,2,8,5.0,,17105.0,G93.0,Morphological anomaly
3434,MMEP syndrome,"Antenatal, Neonatal",,3,9,5.0,601349.0,11045.0,Q87.8,Malformation syndrome
269215,Isolated Dandy-Walker malformation without hydrocephalus,,Multigenic/multifactorial,3,0,5.0,,17111.0,Q03.1,Clinical subtype
1856,Spondyloperipheral dysplasia-short ulna syndrome,"Infancy, Neonatal",Autosomal dominant,2,8,7.0,271700.0,,Q77.7,Disease
280315,Autoimmune pancreatitis type 2,Adult,Not applicable,3,3,6.0,,17228.0,K86.1,Disease
3181,Sprengel deformity,"Antenatal, Infancy, Neonatal",,2,9,5.0,184400.0,8482.0,Q74.0,Morphological anomaly
280302,Autoimmune pancreatitis type 1,Adult,Not applicable,3,3,5.0,,17227.0,K86.1,Clinical subtype
280333,Alpha-dystroglycan-related limb-girdle muscular dystrophy R16,Childhood,Autosomal recessive,2,6,7.0,613818.0,13440.0,G71.0,Disease
280325,Distal deletion 12p syndrome,"Infancy, Neonatal",,2,8,7.0,,17229.0,Q93.5,Malformation syndrome
280293,Pelizaeus-Merzbacher-like disease due to AIMP1 mutation,"Infancy, Neonatal",Autosomal recessive,1,8,5.0,260600.0,9843.0,E75.2,Clinical subtype
280288,Pelizaeus-Merzbacher-like disease due to HSPD1 mutation,"Infancy, Neonatal",Autosomal recessive,1,8,5.0,612233.0,12824.0,E75.2,Clinical subtype
3194,Corneodermatoosseous syndrome,"Infancy, Neonatal",Autosomal dominant,2,8,7.0,122440.0,7383.0,H18.5,Malformation syndrome
280365,Autosomal semi-dominant severe lipodystrophic laminopathy,Adult,Semi-dominant,3,3,7.0,,17230.0,E88.1,Disease
280379,Erythropoietic uroporphyria associated with myeloid malignancy,Adult,Autosomal recessive,3,3,7.0,,17231.0,E80.2,Disease
3197,Hereditary hyperekplexia,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive",1,8,7.0,614619.0,21022.0,G25.8,Disease
3199,Stimmler syndrome,"Infancy, Neonatal",Autosomal recessive,1,8,7.0,202900.0,8743.0,Q87.1,Malformation syndrome
3184,Steatocystoma multiplex-natal teeth syndrome,"Infancy, Neonatal",Autosomal dominant,2,8,7.0,184510.0,8486.0,L72.2,Malformation syndrome
3186,Holoprosencephaly-radial heart renal anomalies syndrome,"Antenatal, Neonatal",,3,9,7.0,184705.0,8488.0,Q87.8,Malformation syndrome
3191,Subaortic stenosis-short stature syndrome,Neonatal,,3,8,7.0,271960.0,10082.0,Q87.1,Malformation syndrome
3193,Supravalvular aortic stenosis,All ages,Autosomal dominant,3,4,4.0,185500.0,8504.0,Q25.3,Morphological anomaly
280356,PLIN1-related familial partial lipodystrophy,Childhood,Autosomal dominant,2,6,7.0,613877.0,13478.0,E88.1,Disease
3214,"Deaf blind hypopigmentation syndrome, Yemenite type","Infancy, Neonatal",Autosomal recessive,1,8,7.0,601706.0,11133.0,Q13.8,Malformation syndrome
280403,Familial omphalocele syndrome with facial dysmorphism,"Infancy, Neonatal",Autosomal dominant,2,8,7.0,,17235.0,Q79.2,Malformation syndrome
280406,Familial steroid-resistant nephrotic syndrome with sensorineural deafness,"Infancy, Neonatal",Autosomal recessive,1,8,7.0,614650.0,13836.0,N04.8,Disease
3201,Ventricular extrasystoles with syncopal episodes-perodactyly-Robin sequence syndrome,"Infancy, Neonatal",Unknown,2,8,7.0,192445.0,8645.0,Q87.8,Malformation syndrome
280384,Recessive intellectual disability-motor dysfunction-multiple joint contractures syndrome,"Infancy, Neonatal",Autosomal recessive,1,8,7.0,,17232.0,Q68.8,Disease
280397,Familial Alzheimer-like prion disease,Adult,Autosomal dominant,3,3,7.0,,17233.0,A81.8,Disease
280576,Nestor-Guillermo progeria syndrome,Childhood,Autosomal recessive,2,6,7.0,614008.0,13523.0,E34.8,Malformation syndrome
3220,Deafness-enamel hypoplasia-nail defects syndrome,Childhood,Autosomal recessive,2,6,7.0,616617.0,100229.0,Q82.4,Malformation syndrome
3219,Fountain syndrome,"Infancy, Neonatal",Autosomal recessive,1,8,7.0,229120.0,9241.0,Q87.8,Malformation syndrome
3222,Phosphoribosylpyrophosphate synthetase superactivity,"Adolescent, Adult, Childhood, Infancy, Neonatal",X-linked recessive,2,8,7.0,300661.0,10395.0,E79.8,Disease
280586,"Chondrodysplasia with joint dislocations, gPAPP type","Infancy, Neonatal",Autosomal recessive,1,8,7.0,614078.0,13561.0,M85.0,Malformation syndrome
3217,Deafness-small bowel diverticulosis-neuropathy syndrome,Childhood,,2,6,7.0,221400.0,9086.0,G60.8,Disease
280553,Fatal infantile hypertonic myofibrillar myopathy,"Infancy, Neonatal",Autosomal recessive,1,8,7.0,613869.0,13472.0,G71.2,Disease
280558,Warsaw breakage syndrome,"Infancy, Neonatal",Autosomal recessive,1,8,7.0,613398.0,13252.0,Q87.8,Malformation syndrome
3216,Conductive deafness-malformed external ear syndrome,Neonatal,Unknown,3,8,7.0,221300.0,9083.0,Q17.8,Malformation syndrome
3218,Deafness-epiphyseal dysplasia-short stature syndrome,Neonatal,,3,8,7.0,601351.0,11047.0,Q87.5,Malformation syndrome
647,Nijmegen breakage syndrome,"Antenatal, Infancy, Neonatal",Autosomal recessive,1,9,7.0,251260.0,9623.0,Q87.8,Malformation syndrome
280062,Calciphylaxis,Adult,Not applicable,3,3,5.0,,17215.0,E83.5,Disease
279947,Postorgasmic illness syndrome,"Adolescent, Adult",Not applicable,3,5,7.0,,17213.0,F52.3,Clinical syndrome
279943,Hereditary neutrophilia,All ages,Autosomal dominant,3,4,7.0,162830.0,8092.0,D72.8,Disease
279934,"Mitochondrial DNA depletion syndrome, hepatocerebral form due to DGUOK deficiency","Childhood, Infancy, Neonatal",Autosomal recessive,1,8,7.0,251880.0,9636.0,E88.8,Disease
3152,Sclerosteosis,"Childhood, Neonatal",Autosomal recessive,1,8,7.0,614305.0,17838.0,M85.2,Malformation syndrome
279928,Paraneoplastic uveitis,Adult,,3,3,7.0,,17212.0,H57.8,Disease
279925,Infectious panuveitis,All ages,,3,4,5.0,,17211.0,H44.1,Disease
279922,Infectious anterior uveitis,All ages,,3,4,5.0,,17210.0,H20.9,Disease
280142,Combined immunodeficiency due to LCK deficiency,"Infancy, Neonatal",Autosomal recessive,1,8,7.0,615758.0,14334.0,D81.1,Disease
3164,"Omphalocele syndrome, Shprintzen-Goldberg type",Neonatal,,3,8,7.0,182210.0,8425.0,Q79.2,Malformation syndrome
3168,Sillence syndrome,"Infancy, Neonatal",Autosomal dominant,2,8,7.0,113450.0,7227.0,Q74.8,Malformation syndrome
280133,Complement component 3 deficiency,Childhood,Autosomal recessive,2,6,7.0,613779.0,13417.0,D84.1,Disease
3163,SHORT syndrome,Neonatal,Autosomal dominant,3,8,7.0,269880.0,10026.0,Q87.1,Malformation syndrome
1479,Atrial septal defect-atrioventricular conduction defects syndrome,No data available,Autosomal dominant,3,0,7.0,108900.0,7173.0,Q21.1,Malformation syndrome
3156,Senior-Loken syndrome,"Adolescent, Adult, Childhood, Infancy",Autosomal recessive,2,7,6.0,616629.0,17842.0,Q61.5,Disease
280071,ALG11-CDG,"Infancy, Neonatal",Autosomal recessive,1,8,7.0,613661.0,13349.0,E77.8,Disease
