OrphaCode,DiseaseName,GeneSymbol,GeneName,AssociationType,AssociationStatus
500464,Squamous cell carcinoma of the nasal cavity and paranasal sinuses,TNFRSF10B,TNF receptor superfamily member 10b,Major susceptibility factor in,Assessed
500464,Squamous cell carcinoma of the nasal cavity and paranasal sinuses,PTEN,phosphatase and tensin homolog,Disease-causing somatic mutation(s) in,Assessed
500464,Squamous cell carcinoma of the nasal cavity and paranasal sinuses,ING1,inhibitor of growth family member 1,Disease-causing somatic mutation(s) in,Assessed
520,Acute promyelocytic leukemia,PML,PML nuclear body scaffold,Part of a fusion gene in,Assessed
520,Acute promyelocytic leukemia,PRKAR1A,protein kinase cAMP-dependent type I regulatory subunit alpha,Part of a fusion gene in,Assessed
520,Acute promyelocytic leukemia,RARA,retinoic acid receptor alpha,Part of a fusion gene in,Assessed
520,Acute promyelocytic leukemia,STAT5B,signal transducer and activator of transcription 5B,Part of a fusion gene in,Assessed
520,Acute promyelocytic leukemia,FIP1L1,factor interacting with PAPOLA and CPSF1,Part of a fusion gene in,Assessed
520,Acute promyelocytic leukemia,NPM1,nucleophosmin 1,Part of a fusion gene in,Assessed
520,Acute promyelocytic leukemia,NABP1,nucleic acid binding protein 1,Part of a fusion gene in,Assessed
520,Acute promyelocytic leukemia,ZBTB16,zinc finger and BTB domain containing 16,Part of a fusion gene in,Assessed
520,Acute promyelocytic leukemia,NUMA1,nuclear mitotic apparatus protein 1,Part of a fusion gene in,Assessed
520,Acute promyelocytic leukemia,TBL1XR1,TBL1X/Y related 1,Part of a fusion gene in,Assessed
520,Acute promyelocytic leukemia,IRF2BP2,interferon regulatory factor 2 binding protein 2,Part of a fusion gene in,Assessed
520,Acute promyelocytic leukemia,STAT3,signal transducer and activator of transcription 3,Part of a fusion gene in,Assessed
520,Acute promyelocytic leukemia,BCOR,BCL6 corepressor,Part of a fusion gene in,Assessed
502363,Squamous cell carcinoma of the oral cavity,TNFRSF10B,TNF receptor superfamily member 10b,Major susceptibility factor in,Assessed
502363,Squamous cell carcinoma of the oral cavity,PTEN,phosphatase and tensin homolog,Disease-causing somatic mutation(s) in,Assessed
502363,Squamous cell carcinoma of the oral cavity,ING1,inhibitor of growth family member 1,Disease-causing somatic mutation(s) in,Assessed
502366,Squamous cell carcinoma of the lip,TNFRSF10B,TNF receptor superfamily member 10b,Major susceptibility factor in,Assessed
502366,Squamous cell carcinoma of the lip,PTEN,phosphatase and tensin homolog,Disease-causing somatic mutation(s) in,Assessed
502366,Squamous cell carcinoma of the lip,ING1,inhibitor of growth family member 1,Disease-causing somatic mutation(s) in,Assessed
