OrphaCode,DiseaseName,GeneSymbol,GeneName,AssociationType,AssociationStatus
502423,Mitochondrial myopathy-cerebellar ataxia-pigmentary retinopathy syndrome,MSTO1,misato mitochondrial distribution and morphology regulator 1,Disease-causing germline mutation(s) in,Assessed
502430,Weiss-Kruszka Syndrome,ZNF462,zinc finger protein 462,Disease-causing germline mutation(s) in,Assessed
502434,STAG1-related intellectual disability-facial dysmorphism-gastroesophageal reflux syndrome,STAG1,STAG1 cohesin complex component,Disease-causing germline mutation(s) in,Assessed
502444,Alkaline ceramidase 3 deficiency,ACER3,alkaline ceramidase 3,Disease-causing germline mutation(s) in,Assessed
432,Normosmic congenital hypogonadotropic hypogonadism,NHLH2,nescient helix-loop-helix 2,Disease-causing germline mutation(s) in,Assessed
432,Normosmic congenital hypogonadotropic hypogonadism,PROK2,prokineticin 2,Disease-causing germline mutation(s) (loss of function) in,Assessed
432,Normosmic congenital hypogonadotropic hypogonadism,PROKR2,prokineticin receptor 2,Disease-causing germline mutation(s) (loss of function) in,Assessed
432,Normosmic congenital hypogonadotropic hypogonadism,CHD7,chromodomain helicase DNA binding protein 7,Disease-causing germline mutation(s) in,Assessed
432,Normosmic congenital hypogonadotropic hypogonadism,FGFR1,fibroblast growth factor receptor 1,Disease-causing germline mutation(s) (loss of function) in,Assessed
432,Normosmic congenital hypogonadotropic hypogonadism,GNRHR,gonadotropin releasing hormone receptor,Disease-causing germline mutation(s) (loss of function) in,Assessed
432,Normosmic congenital hypogonadotropic hypogonadism,KISS1R,KISS1 receptor,Disease-causing germline mutation(s) (loss of function) in,Assessed
432,Normosmic congenital hypogonadotropic hypogonadism,NSMF,NMDA receptor synaptonuclear signaling and neuronal migration factor,Disease-causing germline mutation(s) in,Assessed
432,Normosmic congenital hypogonadotropic hypogonadism,GNRH1,gonadotropin releasing hormone 1,Disease-causing germline mutation(s) in,Assessed
432,Normosmic congenital hypogonadotropic hypogonadism,FGF8,fibroblast growth factor 8,Disease-causing germline mutation(s) (loss of function) in,Assessed
432,Normosmic congenital hypogonadotropic hypogonadism,TAC3,tachykinin precursor 3,Disease-causing germline mutation(s) (loss of function) in,Assessed
432,Normosmic congenital hypogonadotropic hypogonadism,TACR3,tachykinin receptor 3,Disease-causing germline mutation(s) (loss of function) in,Assessed
432,Normosmic congenital hypogonadotropic hypogonadism,WDR11,WD repeat domain 11,Disease-causing germline mutation(s) in,Assessed
432,Normosmic congenital hypogonadotropic hypogonadism,HS6ST1,heparan sulfate 6-O-sulfotransferase 1,Disease-causing germline mutation(s) (loss of function) in,Assessed
432,Normosmic congenital hypogonadotropic hypogonadism,KISS1,KiSS-1 metastasis suppressor,Disease-causing germline mutation(s) (loss of function) in,Assessed
